tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d30vpre	039252_5	stm	1	52	49.473	2.14	2.197561264038086	0.05756126403808581	707	45	1	15	15	5299	729	0.6882591247558594	0.7288055419921875	0.4072723388671875	761.7	169.6	137.4	15.9	33343.5	0.3	5763.9	6680.1	136.4	3.6	72.4	0.0	0.0	0.0	0.4	429.5	1162.1	0.688	0.000	0.000	0.000	0.729	0.000	-0.000	0.407	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.042
d30vpre	039252_6	stm	1	37	33.423	1.91	1.91	0.0	579	56	7	22	22	5538	542	0.5152931213378906	0.39156341552734375	0.644317626953125	598.6	132.5	108.0	11.2	18687.7	0.3	3591.0	8005.8	115.1	37.5	74.3	0.0	0.0	0.0	0.7	449.0	902.3	0.515	0.000	0.000	0.000	0.392	0.000	0.045	0.644	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.000
d30vpre	039252_7	stm	1	24	21.44	1.23	1.5537643432617188	0.32376434326171877	540	48	5	15	15	4678	708	0.44750213623046875	0.3013420104980469	0.423614501953125	499.8	105.6	85.5	9.1	12189.2	0.3	2177.6	4530.9	126.6	4.7	52.3	0.0	0.0	0.0	0.3	354.0	752.5	0.448	0.000	0.001	0.000	0.301	0.000	0.046	0.424	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.155	0.034
d30vpre	039252_8	stm	1	76	73.977	2.38	2.38	0.0	460	47	6	19	19	7738	935	0.634063720703125	0.8179779052734375	0.5935859680175781	724.8	153.4	130.1	13.0	44333.4	0.3	14456.0	10782.6	170.1	82.8	512.3	0.0	0.0	0.0	0.3	534.7	1166.4	0.634	0.000	0.001	0.000	0.818	0.000	0.000	0.594	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.001
d30vpre	039252_9	stm	1	23	20.277	1.69	1.6905879974365234	0.0005879974365234908	385	48	6	24	24	7077	762	0.4463081359863281	0.2537498474121094	0.6335334777832031	531.4	105.9	86.0	8.5	9723.8	0.3	1510.7	6544.8	83.1	3.6	43.5	0.0	0.0	0.0	0.3	415.6	725.8	0.446	0.000	0.000	0.000	0.254	0.000	0.054	0.634	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039253_0	stm	1	24	17.905	1.42	1.5150070190429688	0.09500701904296882	445	53	6	19	19	5242	695	0.448089599609375	0.2634544372558594	0.45122528076171875	493.0	110.0	100.5	8.3	9675.0	0.3	877.4	4822.7	97.1	19.7	99.7	0.0	0.0	0.0	0.3	343.4	793.0	0.448	0.000	0.000	0.000	0.263	0.000	0.029	0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.025
d30vpre	039253_10	stm	1	23	17.395	1.49	1.4927291870117188	0.002729187011718759	343	41	4	16	16	7554	1023	0.37706756591796875	0.2208099365234375	0.5602569580078125	424.7	90.3	72.7	7.0	8027.9	0.2	691.3	6513.9	70.5	3.3	26.9	0.0	0.0	0.0	0.2	392.6	653.4	0.377	0.000	0.000	0.000	0.221	0.000	0.035	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039253_11	stm	1	47	45.475	2.55	2.552509307861328	0.0025093078613283026	563	49	6	25	25	8033	818	0.6577949523925781	0.6374969482421875	0.9283599853515625	731.2	159.3	127.2	12.6	26088.9	0.4	3148.2	12345.6	142.4	22.6	110.7	0.0	0.0	0.0	0.3	662.5	1128.3	0.658	0.000	0.000	0.000	0.637	0.000	0.000	0.928	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.002
d30vpre	039253_12	stm	1	23	21.009	1.51	1.5128135681152344	0.002813568115234366	424	46	4	15	15	3475	544	0.4538612365722656	0.296417236328125	0.29105377197265625	495.3	108.6	86.9	9.1	12852.0	0.3	2526.0	3096.6	101.2	10.3	69.8	0.0	0.0	0.0	0.3	267.5	822.4	0.454	0.000	0.000	0.000	0.296	0.000	0.068	0.291	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.100
d30vpre	039253_13	stm	1	22	18.208	1.13	1.438760757446289	0.30876075744628917	478	44	4	12	12	3827	975	0.4528541564941406	0.27753448486328125	0.2583961486816406	506.0	117.6	97.7	11.3	11198.3	0.3	1408.9	3034.8	90.6	72.3	135.5	0.0	0.0	0.0	0.3	243.7	774.1	0.453	0.000	0.000	0.000	0.278	0.000	0.041	0.258	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.153	0.110
