sample	group	stage	n_events	rc	wall_s	maxrss_kb
mcp1k	g50	imaging	16	0	116.0	949940.0
mcp1k	g50	clus+QL	16	0	74.0	506624.0
mcp1k	g51	imaging	16	0	118.0	950640.0
mcp1k	g51	clus+QL	16	0	70.0	500488.0
mcp1k	g52	imaging	16	0	98.0	949148.0
mcp1k	g52	clus+QL	16	0	53.0	444116.0
mcp1k	g53	imaging	16	0	132.0	973428.0
mcp1k	g53	clus+QL	16	0	89.0	599588.0
mcp1k	g54	imaging	16	0	113.0	956948.0
mcp1k	g54	clus+QL	16	0	66.0	520112.0
mcp1k	g55	imaging	16	0	106.0	953392.0
mcp1k	g55	clus+QL	16	0	63.0	481804.0
mcp1k	g56	imaging	16	0	146.0	972956.0
mcp1k	g56	clus+QL	16	0	116.0	813728.0
mcp1k	g57	imaging	16	0	118.0	950768.0
mcp1k	g57	clus+QL	16	0	74.0	574464.0
mcp1k	g58	imaging	16	0	146.0	970208.0
mcp1k	g58	clus+QL	16	0	105.0	577188.0
mcp1k	g59	imaging	16	0	104.0	948984.0
mcp1k	g59	clus+QL	16	0	58.0	485032.0
mcp1k	g6	imaging	16	0	104.0	955544.0
mcp1k	g6	clus+QL	16	0	74.0	531984.0
mcp1k	g60	imaging	16	0	128.0	972836.0
mcp1k	g60	clus+QL	16	0	85.0	658900.0
mcp1k	g61	imaging	16	0	111.0	948928.0
mcp1k	g61	clus+QL	16	0	65.0	475456.0
mcp1k	g62	imaging	8	0	57.0	946592.0
mcp1k	g62	clus+QL	8	0	36.0	554084.0
mcp1k	g7	imaging	16	0	96.0	954096.0
mcp1k	g7	clus+QL	16	0	60.0	501180.0
mcp1k	g8	imaging	16	0	107.0	975840.0
mcp1k	g8	clus+QL	16	0	75.0	551780.0
mcp1k	g9	imaging	16	0	88.0	951660.0
mcp1k	g9	clus+QL	16	0	54.0	468828.0
mcp2k	g0	imaging	16	0	123.0	951868.0
mcp2k	g0	clus+QL	16	0	79.0	521440.0
mcp2k	g1	imaging	16	0	110.0	949088.0
mcp2k	g1	clus+QL	16	0	72.0	575484.0
mcp2k	g10	imaging	16	0	120.0	973524.0
mcp2k	g10	clus+QL	16	0	80.0	532740.0
