# doc pdhd/10 d10_coverage.py det=pdhd status=0 files=61
det	event	run	block	apa	npts	L	status	wire_med	frac_hi96	hit_u	pres_u	cov_u	covch_u	qhit_u	qpt_u	qpcm_u	hit_v	pres_v	cov_v	covch_v	qhit_v	qpt_v	qpcm_v	hit_w	pres_w	cov_w	covch_w	qhit_w	qpt_w	qpcm_w
pdhd	029107_12_d30hpost	029107	1250	3	83	49.423	0	102	0	5	23	0.060241	0.277108	48757	9751.4	986.524	11	32	0.13253	0.385542	75338	6848.91	1524.35	7	40	0.0843373	0.481928	42687	6098.14	863.707
pdhd	029107_13_d30hpost	029107	500	2	126	75.68	0	914.5	1	60	107	0.47619	0.849206	2.04745e+06	34124.2	27054	5	22	0.0396825	0.174603	4990	998	65.9355	5	22	0.0396825	0.174603	19823	3964.6	261.932
pdhd	029107_13_d30hpost	029107	1140	3	405	251.497	0	414	0	159	405	0.392593	1	7.82673e+06	49224.7	31120.5	196	223	0.483951	0.550617	1.34665e+07	68706.8	53545.4	154	313	0.380247	0.77284	8.46525e+06	54969.2	33659.4
pdhd	029107_14_d30hpost	029107	900	3	160	103.444	0	405.5	0	160	160	1	1	6.04829e+06	37801.8	58469.2	148	160	0.925	1	4.16291e+06	28127.7	40243.1	160	160	1	1	2.70985e+06	16936.5	26196.3
pdhd	029107_14_d30hpost	029107	1160	3	395	244.957	0	225	0	170	303	0.43038	0.767089	7.89271e+06	46427.7	32220.8	141	206	0.356962	0.521519	5.44147e+06	38592	22214	168	254	0.425316	0.643038	3.96963e+06	23628.8	16205.4
pdhd	029107_14_d30hpost	029107	1190	2	708	459.294	0	851.5	0.430791	632	694	0.892655	0.980226	2.5873e+07	40938.3	56332.1	646	698	0.912429	0.985876	2.66324e+07	41226.7	57985.6	702	708	0.991525	1	1.13709e+07	16197.8	24757.3
pdhd	029107_14_d30hpost	029107	1190	3	247	160.234	0	332	0	247	247	1	1	7.34127e+06	29721.7	45816	246	246	0.995951	0.995951	7.51988e+06	30568.6	46930.7	246	247	0.995951	1	4.25118e+06	17281.2	26531.1
pdhd	029107_15_d30hpost	029107	521	2	517	310.549	0	931	1	110	517	0.212766	1	518096	4709.96	1668.32	101	496	0.195358	0.959381	657866	6513.52	2118.4	52	470	0.10058	0.909091	105799	2034.6	340.684
pdhd	029107_15_d30hpost	029107	1420	3	162	97.0828	0	256	0	11	17	0.0679012	0.104938	64348	5849.82	662.816	8	10	0.0493827	0.0617284	56776	7097	584.821	21	36	0.12963	0.222222	63966	3046	658.881
pdhd	029107_16_d30hpost	029107	530	0	68	43.6072	0	615	0	30	45	0.441176	0.661765	727903	24263.4	16692.3	48	68	0.705882	1	1.11819e+06	23295.6	25642.3	64	68	0.941176	1	699136	10924	16032.6
pdhd	029107_16_d30hpost	029107	830	3	66	41.218	0	18.5	0	66	66	1	1	1.74975e+06	26511.4	42451.2	66	66	1	1	2.90009e+06	43940.8	70359.8	63	66	0.954545	1	1.63514e+06	25954.5	39670.4
pdhd	029107_16_d30hpost	029107	1100	3	579	367.659	0	260	0	560	576	0.967185	0.994819	1.98099e+07	35374.9	53881.2	565	579	0.97582	1	1.85845e+07	32892.9	50548.2	559	577	0.965458	0.996546	1.01125e+07	18090.4	27505.1
pdhd	029107_16_d30hpost	029107	1110	3	83	49.5051	0	124	0	5	35	0.060241	0.421687	32299	6459.8	652.437	10	83	0.120482	1	43959	4395.9	887.968	7	83	0.0843373	1	17360	2480	350.671
pdhd	029107_16_d30hpost	029107	1120	3	441	282.947	0	432	0	408	438	0.92517	0.993197	2.92449e+07	71678.8	103358	360	434	0.816327	0.984127	2.23723e+07	62145.3	79068.8	376	421	0.852608	0.954649	1.96551e+07	52274.2	69465.6
pdhd	029107_16_d30hpost	029107	1200	3	201	124.338	0	443	0	61	132	0.303483	0.656716	753669	12355.2	6061.44	99	168	0.492537	0.835821	2.01285e+06	20331.8	16188.5	143	195	0.711443	0.970149	1.4578e+06	10194.4	11724.4
pdhd	029107_17_d30hpost	029107	1080	1	171	104.959	0	224	0	58	106	0.339181	0.619883	1.97993e+06	34136.7	18863.9	16	36	0.0935673	0.210526	590352	36897	5624.62	12	29	0.0701754	0.169591	198015	16501.2	1886.6
pdhd	029107_17_d30hpost	029107	1241	3	77	45.6475	0	422	0	5	5	0.0649351	0.0649351	37212	7442.4	815.203	5	7	0.0649351	0.0909091	30034	6006.8	657.955	2	4	0.025974	0.0519481	13527	6763.5	296.336
pdhd	029107_18_d30hpost	029107	230	0	66	41.6946	0	750.5	0	58	64	0.878788	0.969697	1.3425e+06	23146.6	32198.5	51	64	0.772727	0.969697	1.57714e+06	30924.4	37826.1	53	66	0.80303	1	568084	10718.6	13624.9
pdhd	029107_18_d30hpost	029107	270	2	254	158.903	0	511.5	0	153	173	0.602362	0.681102	1.20805e+07	78957.7	76024.8	221	245	0.870079	0.964567	1.70281e+07	77050	107160	129	148	0.507874	0.582677	1.14157e+07	88493.7	71840.8
pdhd	029107_18_d30hpost	029107	410	0	774	486.661	0	575	0	774	774	1	1	3.70906e+07	47920.7	76214.5	774	774	1	1	4.40394e+07	56898.5	90493	652	774	0.842377	1	1.30006e+07	19939.6	26713.9
pdhd	029107_18_d30hpost	029107	621	2	163	98.7715	0	854	0.435583	42	130	0.257669	0.797546	2.58831e+06	61626.5	26205.1	48	142	0.294479	0.871166	1.136e+06	23666.6	11501.3	52	111	0.319018	0.680982	1.25425e+06	24120.2	12698.5
pdhd	029107_18_d30hpost	029107	750	0	488	301.919	0	849.5	0.387295	260	409	0.532787	0.838115	6.03867e+06	23225.7	20001	319	437	0.653689	0.895492	9.11874e+06	28585.4	30202.6	232	488	0.47541	1	2.21408e+06	9543.46	7333.37
pdhd	029107_18_d30hpost	029107	1260	1	434	260.514	0	102.5	0	45	194	0.103687	0.447005	281390	6253.11	1080.13	46	205	0.105991	0.47235	279565	6077.5	1073.13	24	154	0.0552995	0.354839	102493	4270.54	393.426
pdhd	029107_18_d30hpost	029107	1270	1	495	313.212	0	172	0	479	495	0.967677	1	3.95334e+07	82533.2	126219	484	489	0.977778	0.987879	1.88278e+07	38900.4	60112	481	488	0.971717	0.985859	1.13432e+07	23582.5	36215.8
pdhd	029107_19_d30hpost	029107	300	0	412	260.544	0	638.5	0	392	402	0.951456	0.975728	1.46869e+07	37466.5	56370.1	384	398	0.932039	0.966019	9.26827e+07	241361	355728	398	410	0.966019	0.995146	1.0574e+07	26567.8	40584.3
pdhd	029107_19_d30hpost	029107	600	0	677	428.74	0	660	0	658	677	0.971935	1	2.84026e+07	43165.1	66246.7	674	677	0.995569	1	2.32701e+07	34525.3	54275.5	670	675	0.98966	0.997046	1.20248e+07	17947.4	28046.7
pdhd	029107_19_d30hpost	029107	1110	3	191	121.967	0	397	0	172	191	0.900524	1	4.98145e+06	28961.9	40842.6	171	191	0.895288	1	3.69216e+06	21591.5	30271.8	172	191	0.900524	1	2.57537e+06	14973.1	21115.3
pdhd	029107_19_d30hpost	029107	1230	1	22	14.1413	0	474.5	0	12	18	0.545455	0.818182	229119	19093.2	16202.2	6	18	0.272727	0.818182	187726	31287.7	13275.1	15	19	0.681818	0.863636	249586	16639.1	17649.5
pdhd	029107_19_d30hpost	029107	1230	3	325	208.905	0	150	0	282	299	0.867692	0.92	9.94293e+06	35258.6	47595.5	304	324	0.935385	0.996923	3.0376e+07	99921.2	145406	284	302	0.873846	0.929231	4.72458e+06	16635.8	22615.9
pdhd	029107_1_d30hpost	029107	340	0	300	184.478	0	615	0	82	243	0.273333	0.81	1.73157e+06	21116.8	9386.35	74	164	0.246667	0.546667	3.0141e+06	40731.1	16338.6	76	201	0.253333	0.67	773667	10179.8	4193.82
pdhd	029107_1_d30hpost	029107	460	2	75	44.8143	0	701	0	5	15	0.0666667	0.2	31046	6209.2	692.77	3	5	0.04	0.0666667	34742	11580.7	775.243	1	3	0.0133333	0.04	10569	10569	235.84
pdhd	029107_1_d30hpost	029107	1040	3	356	225.327	0	449	0	320	356	0.898876	1	1.18587e+07	37058.6	52629.1	261	296	0.733146	0.831461	9.9412e+06	38088.9	44119	283	322	0.794944	0.904494	6.10793e+06	21582.8	27107
pdhd	029107_20_d30hpost	029107	230	0	103	64.7804	0	709	0	36	85	0.349515	0.825243	273740	7603.89	4225.66	96	100	0.932039	0.970874	2.59556e+06	27037.1	40067.1	93	102	0.902913	0.990291	1.19281e+06	12825.9	18413.1
pdhd	029107_20_d30hpost	029107	340	0	69	42.6657	0	500	0	5	17	0.0724638	0.246377	44992	8998.4	1054.52	9	58	0.130435	0.84058	86643	9627	2030.74	21	69	0.304348	1	131392	6256.76	3079.57
pdhd	029107_20_d30hpost	029107	461	2	728	435.304	0	931	1	124	714	0.17033	0.980769	641717	5175.14	1474.18	149	716	0.20467	0.983516	468837	3146.56	1077.03	49	672	0.0673077	0.923077	108079	2205.69	248.284
pdhd	029107_20_d30hpost	029107	610	2	181	114.527	0	561	0	109	134	0.60221	0.740331	7.64808e+06	70165.9	66779.5	104	179	0.574586	0.98895	1.27284e+06	12238.9	11113.9	104	165	0.574586	0.911602	2.22792e+06	21422.3	19453.2
pdhd	029107_20_d30hpost	029107	660	0	478	306.143	0	811.5	0.338912	473	478	0.98954	1	5.87556e+07	124219	191922	477	478	0.997908	1	1.8915e+07	39654	61784.8	477	477	0.997908	0.997908	1.35761e+07	28461.5	44345.7
pdhd	029107_20_d30hpost	029107	660	2	48	30.7424	0	493.5	0	48	48	1	1	5.13831e+06	107048	167141	48	48	1	1	1.96349e+06	40906.1	63869.2	48	48	1	1	1.20573e+06	25119.4	39220.5
pdhd	029107_20_d30hpost	029107	1050	1	177	110.279	0	408	0	177	177	1	1	1.59721e+07	90237.9	144834	172	172	0.971751	0.971751	6.44014e+06	37442.6	58398.8	177	177	1	1	3.77686e+06	21338.2	34248.3
