OFF    blocks= 683 points= 273000 | med-of-med=0.56 cm | med>3cm: 147 (21.5%) | mean frac>10cm=0.113 | mean negQ=0.231 | accepted(st=0): n=153 med-of-med=1.10 med>3cm=45.8%
BOTH   blocks= 662 points= 242367 | med-of-med=0.53 cm | med>3cm:  45 (6.8%) | mean frac>10cm=0.055 | mean negQ=0.184 | accepted(st=0): n=167 med-of-med=0.58 med>3cm=12.0%
