arm	cid	ident	apa	face	nnew	norig	ncomp	ncomp_ss	nsup	legacy_rm	run_rm	nruns	maxrun_cm
029107_1_d07bb	88	88	1	1	867	747	34	34	712	118	0	16	5.1
029107_1_d07bb	90	90	1	1	3	3	1	1	3	0	0	0	0.0
029107_1_d07bb	92	92	1	1	27	7	1	1	11	0	16	1	22.6
029107_1_d07bb	93	93	1	1	158	5	5	5	9	8	140	2	46.0
029107_1_d07bb	95	95	1	1	318	168	5	5	163	4	150	2	65.0
029107_1_d07bb	97	97	3	1	924	693	62	62	586	212	82	31	31.8
029107_1_d07bb	98	98	1	1	31	27	1	1	27	0	0	4	0.0
029107_1_d07bb	98	98	3	1	1906	729	102	102	657	985	215	50	139.1
029107_1_d07bb	99	99	3	1	566	72	15	15	61	59	394	23	47.3
029107_1_d07bb	100	100	3	1	15	11	1	1	13	0	0	1	1.8
029107_1_d07bb	101	101	3	1	575	341	29	29	315	116	32	48	36.0
029107_1_d07bb	104	104	3	1	361	304	14	14	289	29	0	18	5.3
029107_1_d07bb	106	106	3	1	15	9	1	1	12	0	0	1	1.6
029107_1_d07bb	107	107	3	1	185	171	2	2	169	0	0	14	0.4
029107_1_d07bb	109	109	1	1	70	10	2	2	13	1	0	3	18.0
029107_1_d07bb	110	110	0	0	1258	823	179	179	765	417	0	50	4.1
029107_1_d07bb	110	110	2	0	98	86	4	4	90	3	0	2	1.8
029107_1_d07bb	110	110	3	1	3239	470	298	298	458	1290	1333	85	126.8
029107_1_d07bb	111	111	0	0	1985	638	128	128	593	739	536	48	98.6
029107_1_d07bb	111	111	1	1	1185	453	79	79	419	679	0	39	7.1
029107_1_d07bb	111	111	3	1	658	475	64	64	442	122	49	25	46.2
029107_1_d07bb	112	112	0	0	976	409	46	46	380	249	331	15	104.0
029107_1_d07bb	112	112	1	1	1659	847	113	113	764	405	331	54	104.1
029107_1_d07bb	112	112	2	0	1509	1045	156	156	921	445	0	55	11.3
029107_1_d07bb	113	113	2	0	803	38	4	4	37	4	761	2	239.6
029107_1_d07bb	113	113	3	1	1268	368	21	21	384	38	820	21	239.9
029107_1_d07bb	2	2	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bb	8	8	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	13	13	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	16	16	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bb	20	20	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bb	22	22	2	0	3	3	1	1	3	0	0	0	0.0
029107_1_d07bb	23	23	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	60	60	1	1	2	2	1	1	2	0	0	0	0.0
029107_1_d07bb	85	85	1	1	213	172	8	8	173	11	0	25	0.9
029107_1_d07bb	114	114	1	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bb	115	115	1	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	116	116	1	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bb	117	117	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	1	1	0	0	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	2	2	0	0	3	3	2	2	3	0	0	0	0.0
029107_12_d07bb	3	3	0	0	12	10	1	1	10	0	0	1	0.4
029107_12_d07bb	5	5	2	0	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	6	6	2	0	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	7	7	2	0	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	8	8	2	0	6	6	1	1	6	0	0	0	0.0
029107_12_d07bb	9	9	2	0	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	10	10	2	0	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	11	11	2	0	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	12	12	2	0	12	10	2	2	12	0	0	0	0.0
029107_12_d07bb	13	13	2	0	9	8	1	1	8	0	0	1	0.0
029107_12_d07bb	14	14	2	0	6	6	1	1	6	0	0	0	0.0
029107_12_d07bb	17	17	2	0	6	6	2	2	6	0	0	0	0.0
029107_12_d07bb	19	19	2	0	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	20	20	0	0	283	279	15	15	256	6	0	19	1.1
029107_12_d07bb	21	21	0	0	378	114	9	9	144	6	127	51	62.2
029107_12_d07bb	24	24	0	0	6381	1419	648	648	1244	2982	1661	205	79.8
029107_12_d07bb	25	25	0	0	11795	4503	1255	1255	4839	4606	1355	373	68.5
029107_12_d07bb	27	27	0	0	4631	2419	466	466	2316	1124	483	354	48.5
029107_12_d07bb	27	27	2	0	1341	799	185	185	723	307	170	62	34.0
029107_12_d07bb	28	28	0	0	442	133	31	31	137	83	180	16	79.5
029107_12_d07bb	30	30	0	0	652	393	40	40	349	43	50	34	21.7
029107_12_d07bb	31	31	0	0	5581	2037	563	563	2292	1932	971	152	74.8
029107_12_d07bb	31	31	2	0	28	22	7	7	22	5	0	1	0.0
029107_12_d07bb	32	32	0	0	985	252	78	78	228	273	356	38	37.4
029107_12_d07bb	33	33	0	0	487	466	16	16	468	17	0	1	0.3
029107_12_d07bb	33	33	2	0	81	86	4	4	65	5	0	4	1.5
029107_12_d07bb	35	35	0	0	5360	2360	540	540	2265	1836	508	201	45.6
029107_12_d07bb	36	36	0	0	684	380	48	48	280	125	165	60	56.3
029107_12_d07bb	37	37	0	0	532	74	40	40	65	179	257	23	32.0
029107_12_d07bb	38	38	0	0	282	164	7	7	105	20	8	67	25.3
