run,evt,anode,plane,ch_lo,ch_hi,t_lo,t_hi,n_channels,length_max,gauss_max,fill_factor_min,fwhm_frac_min,raw_asym_extreme,roi_energy_frac_max,triggered_by
39324,0,0,U,38,42,5087,5299,3,176,12035.0,0.179,0.089,-0.819,0.989,L_long+asym+fill_shape
39324,0,0,U,44,45,1891,1946,1,56,2413.0,0.480,0.464,-0.925,1.000,asym
39324,0,0,U,89,91,1699,2147,3,247,7621.0,0.395,0.457,+0.763,0.957,L_long+asym
39324,0,0,U,96,96,2238,2413,1,176,10446.0,0.463,0.449,+0.689,1.000,L_long+asym
39324,0,0,U,195,195,382,412,1,31,1815.0,0.453,0.484,+1.000,0.849,asym
39324,0,0,U,230,232,7,39,1,33,1636.0,0.568,0.576,-0.927,0.995,asym
39324,0,0,U,386,388,3254,3358,3,90,6516.0,0.294,0.214,+0.556,1.000,L_long+asym+fill_shape
39324,0,0,V,1013,1015,183,375,2,193,2735.0,0.294,0.142,-0.855,0.915,L_long+asym+fill_shape
