run,evt,anode,plane,ch_lo,ch_hi,t_lo,t_hi,n_channels,length_max,gauss_max,fill_factor_min,fwhm_frac_min,raw_asym_extreme,roi_energy_frac_max,triggered_by
39324,4,0,U,171,172,2,33,1,32,2865.0,0.437,0.438,-0.676,0.999,asym
39324,4,0,V,1227,1229,843,914,1,72,9129.0,0.473,0.458,-1.000,0.974,asym
