run,evt,anode,plane,ch_lo,ch_hi,t_lo,t_hi,n_channels,length_max,gauss_max,fill_factor_min,fwhm_frac_min,raw_asym_extreme,roi_energy_frac_max,triggered_by
39324,5,0,U,315,318,198,488,3,256,7162.0,0.396,0.341,-1.000,1.000,L_long+asym
39324,5,0,U,363,365,2235,2403,3,113,6482.0,0.392,0.354,+0.845,1.000,L_long+asym
39324,5,0,V,1013,1013,5825,5919,1,95,2271.0,0.517,0.589,+0.675,0.977,L_long+asym
39324,5,0,V,1210,1211,4627,4664,1,38,2234.0,0.520,0.579,-1.000,0.995,asym
39324,5,0,V,1292,1292,1699,1756,1,58,5406.0,0.406,0.362,-1.000,1.000,asym
39324,5,0,V,1314,1316,375,442,1,68,7784.0,0.525,0.529,-0.991,1.000,asym
39324,5,0,V,1340,1341,120,157,1,38,2107.0,0.477,0.342,-1.000,0.999,asym
