# per tier: ntracks, npoints, k_pop (vs MuonDeDx), chi2 over populated bins (3%% floor),
# then per-bin median(dqdx/(k_pop*muon ref)), per-bin err, per-bin npoints.
# pts_per_cm_med and reach_frac are the round-2 additions: read f_low_med WITH
# pts_per_cm_med (deletion vs recovery), and reach_frac attributes a tier collapse.
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	f_low_med	pts_per_cm_med	reach_frac	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	593	136934	0.9300	2448.58	11	0.8552	0.2475	1.067	0.039	1.386	0.840	0.260	0.3756	0.4908	0.6268	0.7275	0.8251	0.8914	0.9572	0.9833	0.9963	1.0264	1.0248	0.0160	0.0223	0.0252	0.0246	0.0270	0.0281	0.0294	0.0300	0.0301	0.0310	0.0309	1032	796	774	1533	1534	2312	3830	3823	7576	7369	13965
contrast_ge2	95	22602	0.9129	30.94	11	0.9592	0.2658	2.450	0.036	1.522	1.000	0.274	0.9593	1.0519	1.0685	1.0771	1.0425	1.0885	1.0886	1.0702	1.0293	1.0203	1.0264	0.0403	0.0413	0.0384	0.0362	0.0363	0.0351	0.0342	0.0343	0.0321	0.0318	0.0314	195	137	159	295	295	432	721	711	1403	1327	2377
doc55_cuts	41	12189	0.9308	75.22	11	1.0097	0.0827	2.324	0.020	1.499	1.000	0.220	0.9932	1.0777	1.0941	1.1439	1.1197	1.1089	1.1272	1.1018	1.0788	1.0493	1.0372	0.0402	0.0388	0.0388	0.0371	0.0372	0.0354	0.0354	0.0355	0.0334	0.0326	0.0318	86	55	68	129	122	189	319	314	634	615	1148
doc55_muon	40	12063	0.9319	78.09	11	1.0128	0.0765	2.331	0.019	1.505	1.000	0.225	0.9978	1.0776	1.0966	1.1433	1.1243	1.1138	1.1259	1.1038	1.0845	1.0492	1.0404	0.0401	0.0388	0.0388	0.0370	0.0372	0.0355	0.0354	0.0354	0.0335	0.0326	0.0319	84	54	66	125	119	184	311	306	619	600	1117
complete	298	82358	0.9703	1057.52	11	0.9451	0.1458	1.140	0.016	1.471	0.936	0.289	0.4553	0.5706	0.6767	0.8445	0.9205	0.9590	0.9986	1.0058	1.0146	1.0379	1.0344	0.0217	0.0271	0.0279	0.0291	0.0306	0.0302	0.0306	0.0307	0.0307	0.0314	0.0312	578	441	442	874	866	1313	2198	2181	4327	4239	8088
complete_bragg	57	15982	0.9509	47.76	11	1.0016	0.0829	2.406	0.017	1.522	1.000	0.263	0.9966	1.0721	1.0777	1.0965	1.0788	1.0786	1.1017	1.1005	1.0507	1.0433	1.0415	0.0396	0.0406	0.0367	0.0358	0.0362	0.0348	0.0344	0.0348	0.0326	0.0323	0.0318	118	79	97	176	176	266	448	437	877	814	1512
complete_muonshape	221	63167	0.9725	1685.19	11	0.9235	0.1316	1.023	0.017	1.482	0.955	0.235	0.3990	0.5122	0.6152	0.7292	0.8127	0.8681	0.9624	0.9746	1.0022	1.0415	1.0416	0.0204	0.0250	0.0243	0.0254	0.0274	0.0278	0.0298	0.0299	0.0304	0.0316	0.0314	428	339	326	664	652	991	1663	1646	3278	3215	6106
complete_protonshape	77	19191	0.9633	117.94	11	1.0398	0.1408	1.783	0.012	1.421	0.883	0.442	0.6622	0.9138	1.0052	1.1240	1.1776	1.1322	1.1001	1.0956	1.0460	1.0305	1.0173	0.0475	0.0488	0.0397	0.0372	0.0388	0.0368	0.0345	0.0345	0.0323	0.0318	0.0309	150	102	116	210	214	322	535	535	1049	1024	1982
