# per tier: ntracks, npoints, k_pop (vs MuonDeDx), chi2 over populated bins (3%% floor),
# then per-bin median(dqdx/(k_pop*muon ref)), per-bin err, per-bin npoints
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	f_low_med	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	582	143379	0.9217	2343.44	11	0.8597	0.2488	1.071	0.043	0.265	0.3688	0.5031	0.6483	0.7366	0.8541	0.9023	0.9532	0.9917	1.0085	1.0339	1.0230	0.0160	0.0228	0.0276	0.0253	0.0280	0.0284	0.0293	0.0304	0.0305	0.0313	0.0308	1030	784	771	1533	1526	2289	3790	3776	7479	7297	13961
contrast_ge2	102	25314	0.9159	47.23	11	0.9686	0.2472	2.427	0.034	0.324	0.9751	1.0520	1.0844	1.0835	1.0915	1.0974	1.1052	1.0843	1.0511	1.0385	1.0316	0.0394	0.0391	0.0364	0.0357	0.0356	0.0351	0.0348	0.0347	0.0326	0.0322	0.0315	210	154	162	315	309	459	780	764	1486	1437	2714
doc55_cuts	47	13039	0.9261	67.75	11	0.9974	0.0885	2.289	0.015	0.362	1.0091	1.0631	1.1145	1.1140	1.1143	1.1211	1.1139	1.0894	1.0636	1.0507	1.0458	0.0396	0.0374	0.0387	0.0355	0.0367	0.0361	0.0357	0.0353	0.0330	0.0327	0.0320	97	70	79	146	142	218	369	364	725	703	1389
doc55_muon	45	12544	0.9305	69.55	11	1.0125	0.0818	2.289	0.015	0.356	1.0168	1.0664	1.1102	1.1098	1.1150	1.1226	1.1166	1.0978	1.0627	1.0556	1.0494	0.0402	0.0383	0.0389	0.0353	0.0365	0.0361	0.0356	0.0354	0.0330	0.0328	0.0322	93	67	76	141	136	208	355	347	696	673	1326
complete	284	80655	0.9638	911.11	11	0.9355	0.1571	1.185	0.018	0.303	0.4428	0.5964	0.7249	0.8593	0.9326	0.9486	0.9911	1.0095	1.0145	1.0411	1.0243	0.0227	0.0285	0.0313	0.0298	0.0310	0.0301	0.0305	0.0309	0.0308	0.0316	0.0309	561	425	426	854	849	1277	2127	2099	4112	4040	7747
complete_bragg	67	17973	0.9518	40.01	11	0.9984	0.0977	2.282	0.012	0.328	1.0029	1.0572	1.0752	1.0839	1.0748	1.0781	1.0958	1.0909	1.0450	1.0315	1.0272	0.0399	0.0381	0.0359	0.0350	0.0356	0.0346	0.0345	0.0349	0.0324	0.0320	0.0314	137	100	110	206	208	308	534	515	1024	996	1895
complete_muonshape	204	59724	0.9725	1678.60	11	0.9100	0.1389	1.024	0.018	0.255	0.3806	0.5136	0.6274	0.7342	0.8115	0.8769	0.9380	0.9779	1.0013	1.0405	1.0304	0.0200	0.0257	0.0274	0.0265	0.0276	0.0282	0.0292	0.0303	0.0305	0.0317	0.0311	401	316	304	621	609	926	1549	1535	3013	2964	5711
complete_protonshape	80	20931	0.9393	86.49	11	1.0128	0.1730	1.943	0.018	0.425	0.7869	0.9646	1.0264	1.1400	1.1740	1.1302	1.1137	1.0827	1.0571	1.0362	1.0100	0.0489	0.0464	0.0408	0.0373	0.0394	0.0371	0.0352	0.0344	0.0328	0.0322	0.0308	160	109	122	233	240	351	578	564	1099	1076	2036
