# doc pdvd/50 r2: dQ/dx vs rr per READOUT-UNIT SELECTION, per tier.
# Selections are on POINTS, so units are NOT disjoint at track level -- a track
# crossing APAs contributes to more than one row.  ntracks counts tracks with at
# least one point in the selection.
# plateau_ratio is median(dqdx / muon table) over rr in [40, 60) with NO free
# scale; plateau_ratio_hi is the same over points above 0.5 x plateau only
# (doc 50 sec 4.2's 'the surviving points are right to 5 %' test).
# band_* are ABSOLUTE plateau point counts by dqdx/table, not fractions.
tier	sel	units	ntracks	npoints	k_pop	chi2	nbins	plateau_ratio	plateau_npts	plateau_ratio_hi	plateau_npts_hi	killed_frac	band_lt0.2	band_0.2-0.5	band_0.5-0.8	band_0.8-1.2	band_gt1.2	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	all	0+1	55	17221	0.9404	88.49	11	0.9608	1535	0.9811	1405	0.0847	37	97	222	935	244	0.7498	0.7299	0.8352	0.7846	0.8654	0.8215	0.9452	1.0447	1.0581	1.0330	1.0217	0.0971	0.0738	0.0639	0.0501	0.0447	0.0352	0.0344	0.0364	0.0337	0.0329	0.0315	100	72	78	149	149	225	382	378	760	779	1535
all_kept	bottom_xneg	0	24	7142	1.0129	147.60	11	1.0171	670	1.0312	633	0.0552	8	29	70	437	126	0.3978	0.5484	0.6525	0.7634	0.9449	0.7776	0.8784	0.9754	1.0141	1.0569	1.0041	0.0885	0.0786	0.0814	0.0610	0.0595	0.0484	0.0385	0.0386	0.0344	0.0359	0.0315	44	31	34	61	66	99	169	164	327	336	670
all_kept	top_xpos	1	37	10079	0.8935	49.57	11	0.9188	865	0.9431	772	0.1075	29	68	152	498	118	1.0206	0.9459	0.9296	0.8176	0.7467	0.8483	0.9936	1.0982	1.0937	1.0300	1.0283	0.1234	0.0905	0.0699	0.0709	0.0679	0.0405	0.0394	0.0428	0.0359	0.0343	0.0325	56	41	44	88	83	126	213	214	433	443	865
complete	all	0+1	34	10649	0.9715	75.45	11	0.9792	1008	0.9870	965	0.0427	11	32	108	686	171	0.7538	0.7520	0.8131	0.8047	0.9571	0.8143	0.9355	1.0085	1.0249	1.0120	1.0079	0.1202	0.0803	0.0602	0.0501	0.0572	0.0329	0.0342	0.0370	0.0329	0.0324	0.0311	64	47	51	96	100	148	259	251	502	512	1008
complete	bottom_xneg	0	17	5134	1.0201	122.62	11	1.0148	483	1.0265	461	0.0455	7	15	37	327	97	0.4218	0.5548	0.6806	0.7580	0.9733	0.7867	0.8969	0.9432	1.0207	1.0597	0.9947	0.1030	0.0883	0.0903	0.0605	0.0747	0.0425	0.0386	0.0414	0.0352	0.0383	0.0314	30	22	24	43	48	71	125	120	233	242	483
complete	top_xpos	1	20	5515	0.9249	32.71	11	0.9444	525	0.9539	504	0.0400	4	17	71	359	74	0.9931	0.9616	0.8616	0.8545	0.9033	0.8353	0.9812	1.0639	1.0459	1.0156	1.0212	0.1490	0.0736	0.0729	0.0740	0.0677	0.0387	0.0403	0.0433	0.0346	0.0329	0.0321	34	25	27	53	52	77	134	131	269	270	525
complete_bragg	all	0+1	10	3576	0.9253	37.71	11	0.9582	315	0.9642	306	0.0286	1	8	40	228	38	1.3609	1.1434	1.1314	0.9651	0.9969	0.9487	1.1389	1.0810	1.0534	1.0521	1.0356	0.0831	0.0883	0.1301	0.1061	0.1827	0.0881	0.0523	0.0497	0.0386	0.0370	0.0331	20	13	16	32	29	44	79	75	149	155	315
complete_bragg	bottom_xneg	0	2	416	1.0615	125.30	8	1.0039	32	1.0039	32	0.0000	0	0	0	28	4	nan	nan	nan	1.6103	1.6079	1.2612	1.1718	0.9421	1.0734	0.9969	0.9458	nan	nan	nan	0.1078	0.0990	0.0419	0.0525	0.0694	0.0444	0.0849	0.0335	4	2	4	6	6	9	16	15	16	15	32
complete_bragg	top_xpos	1	10	3160	0.9121	48.85	11	0.9517	283	0.9575	274	0.0318	1	8	40	200	34	1.3806	1.1105	0.9740	0.8231	0.6926	0.8848	1.0990	1.0977	1.0403	1.0647	1.0434	0.0831	0.0828	0.0631	0.0960	0.1252	0.0547	0.0525	0.0582	0.0383	0.0377	0.0338	16	11	12	26	23	35	63	60	133	140	283
