# doc pdvd/50 r2: dQ/dx vs rr per READOUT-UNIT SELECTION, per tier.
# Selections are on POINTS, so units are NOT disjoint at track level -- a track
# crossing APAs contributes to more than one row.  ntracks counts tracks with at
# least one point in the selection.
# plateau_ratio is median(dqdx / muon table) over rr in [40, 60) with NO free
# scale; plateau_ratio_hi is the same over points above 0.5 x plateau only
# (doc 50 sec 4.2's 'the surviving points are right to 5 %' test).
# band_* are ABSOLUTE plateau point counts by dqdx/table, not fractions.
tier	sel	units	ntracks	npoints	k_pop	chi2	nbins	plateau_ratio	plateau_npts	plateau_ratio_hi	plateau_npts_hi	killed_frac	band_lt0.2	band_0.2-0.5	band_0.5-0.8	band_0.8-1.2	band_gt1.2	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
complete	noAPA0	1+2+3	127	46140	1.0318	444.52	11	1.0454	3593	1.0527	3477	0.0323	13	109	254	2492	725	0.4798	0.5936	0.6773	0.7770	0.9330	0.9650	0.9922	1.0079	1.0273	1.0133	1.0131	0.0349	0.0415	0.0388	0.0311	0.0339	0.0322	0.0313	0.0314	0.0314	0.0308	0.0306	249	193	184	376	379	563	946	949	1904	1896	3593
complete	face0_xneg	0+2	48	14803	1.0273	113.40	11	1.0379	1237	1.0432	1186	0.0412	6	49	108	843	231	0.5630	0.6814	0.7441	0.8236	0.9380	0.9949	1.0301	0.9977	1.0220	1.0086	1.0103	0.0658	0.0652	0.0522	0.0420	0.0410	0.0379	0.0342	0.0332	0.0328	0.0316	0.0309	93	68	76	132	146	213	352	354	701	672	1237
complete	face1_xpos	1+3	92	33204	1.0327	617.87	11	1.0498	2476	1.0573	2393	0.0335	11	75	170	1708	512	0.4250	0.4917	0.6306	0.7365	0.8714	0.9195	0.9542	1.0026	1.0228	1.0087	1.0166	0.0339	0.0393	0.0438	0.0317	0.0346	0.0332	0.0315	0.0320	0.0316	0.0309	0.0308	170	136	119	266	256	383	648	652	1317	1316	2476
complete_bragg	all	0+1+2+3	40	15378	1.0446	14.69	11	1.0942	1130	1.0961	1114	0.0142	0	18	34	812	266	1.0274	1.0189	0.9580	0.9754	1.0390	1.0591	1.0491	1.0457	1.0417	1.0100	1.0475	0.0483	0.0445	0.0388	0.0346	0.0350	0.0340	0.0325	0.0325	0.0324	0.0313	0.0319	80	64	63	121	128	185	305	306	628	620	1130
complete_bragg	APA0	0	3	351	0.6647	74.97	4	nan	0	nan	0	nan	0	0	0	0	0	nan	nan	nan	nan	nan	nan	1.5848	1.5125	1.4873	0.7092	nan	nan	nan	nan	nan	nan	nan	0.1889	0.0870	0.2799	0.0553	nan	2	2	2	3	3	4	8	9	16	10	0
complete_bragg	APA1	1	10	4551	1.0400	35.90	11	1.1085	212	1.1124	205	0.0330	0	7	8	135	62	0.9768	1.0745	1.0691	0.8339	1.1029	1.1045	1.1454	1.0732	1.0181	0.9750	1.0658	0.1479	0.0991	0.1117	0.0986	0.0577	0.0405	0.0387	0.0374	0.0369	0.0332	0.0351	14	12	10	22	20	29	48	45	112	116	212
complete_bragg	APA2	2	17	5293	1.0434	16.55	11	1.0822	525	1.0866	519	0.0114	0	8	14	389	114	1.0277	0.9781	0.9254	0.9762	1.0367	1.0588	1.0598	1.0350	1.0358	1.0208	1.0372	0.0466	0.0467	0.0348	0.0338	0.0373	0.0354	0.0334	0.0343	0.0338	0.0323	0.0318	34	25	28	46	59	81	131	134	264	266	525
complete_bragg	APA3	3	18	5183	1.0610	10.38	11	1.1045	393	1.1050	390	0.0076	0	3	12	288	90	1.0736	1.0917	1.0442	1.0229	1.0185	1.0173	0.9897	1.0534	1.0375	1.0215	1.0410	0.0727	0.0552	0.0769	0.0542	0.0403	0.0413	0.0328	0.0349	0.0333	0.0337	0.0325	30	25	23	50	46	71	118	118	236	228	393
complete_bragg	noAPA0	1+2+3	39	15027	1.0479	14.58	11	1.0942	1130	1.0961	1114	0.0142	0	18	34	812	266	1.0352	1.0288	0.9632	0.9734	1.0377	1.0581	1.0475	1.0514	1.0384	1.0107	1.0442	0.0486	0.0460	0.0384	0.0352	0.0351	0.0339	0.0325	0.0328	0.0322	0.0313	0.0318	78	62	61	118	125	181	297	297	612	610	1130
complete_bragg	face0_xneg	0+2	19	5644	1.0351	21.09	11	1.0822	525	1.0866	519	0.0114	0	8	14	389	114	1.0335	0.9739	0.9113	0.9700	1.0408	1.0602	1.0620	1.0360	1.0441	1.0242	1.0455	0.0466	0.0483	0.0341	0.0346	0.0380	0.0356	0.0333	0.0344	0.0344	0.0327	0.0321	36	27	30	49	62	85	139	143	280	276	525
complete_bragg	face1_xpos	1+3	26	9734	1.0503	17.41	11	1.1054	605	1.1073	595	0.0165	0	10	20	423	152	1.0669	1.0927	1.0548	0.9721	1.0385	1.0609	1.0408	1.0628	1.0409	0.9992	1.0525	0.0690	0.0571	0.0671	0.0481	0.0391	0.0363	0.0339	0.0338	0.0330	0.0319	0.0325	44	37	33	72	66	100	166	163	348	344	605
