# per tier: ntracks, npoints, k_pop (vs MuonDeDx), chi2 over populated bins (3%% floor),
# then per-bin median(dqdx/(k_pop*muon ref)), per-bin err, per-bin npoints
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	f_low_med	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	73	22405	0.9388	190.41	11	0.8452	0.1994	1.626	0.040	0.137	0.5151	0.7360	0.6972	0.7525	0.9174	0.8225	0.8761	0.9777	1.0299	1.0288	1.0333	0.0653	0.0704	0.0500	0.0413	0.0456	0.0340	0.0321	0.0337	0.0328	0.0323	0.0317	128	99	95	196	196	300	500	498	1000	1009	1934
contrast_ge2	26	9210	0.8960	29.87	11	0.7906	0.2330	2.679	0.066	0.192	1.1123	1.1485	1.0140	0.8822	0.8977	0.8690	0.9053	0.9884	1.0310	1.0375	1.0512	0.0714	0.0514	0.0836	0.0733	0.0712	0.0511	0.0503	0.0468	0.0369	0.0345	0.0337	52	40	37	82	79	126	203	197	386	406	748
doc55_cuts	2	679	0.9289	13.88	8	0.9159	0.1491	2.233	0.086	0.000	nan	nan	nan	1.0754	0.8477	0.9837	1.0141	0.9340	1.0924	1.0594	0.8427	nan	nan	nan	0.1944	0.0831	0.0989	0.0808	0.0886	0.0556	0.0574	0.0646	4	3	3	7	5	10	16	16	32	32	58
doc55_muon	1	555	0.9542	34.31	6	1.0649	0.0000	2.422	0.027	0.000	nan	nan	nan	nan	nan	1.1334	0.9449	1.0853	1.1475	1.1035	1.0988	nan	nan	nan	nan	nan	0.0435	0.0563	0.0448	0.0421	0.0390	0.0959	2	2	1	3	2	5	8	8	17	17	27
complete	38	12795	0.9646	238.12	11	0.9180	0.1281	1.211	0.025	0.026	0.4478	0.6224	0.6325	0.7212	0.9228	0.8398	0.9037	0.9884	1.0422	1.0432	1.0335	0.0690	0.0740	0.0489	0.0376	0.0552	0.0354	0.0316	0.0344	0.0334	0.0332	0.0319	72	58	54	110	111	170	283	287	579	558	1094
complete_bragg	11	4890	0.9228	39.85	11	0.8341	0.1601	2.538	0.030	0.091	1.2420	1.1369	0.9845	0.7800	0.9460	0.8814	0.9695	1.0602	1.0440	1.0831	1.0921	0.1031	0.0450	0.0702	0.0989	0.0837	0.0547	0.0505	0.0481	0.0377	0.0367	0.0361	22	18	15	34	33	54	84	87	173	174	335
complete_muonshape	32	9928	0.9614	287.60	11	0.9023	0.0998	1.139	0.025	0.000	0.4429	0.5858	0.6139	0.7025	0.8941	0.8183	0.8906	0.9635	1.0419	1.0513	1.0423	0.0718	0.0753	0.0441	0.0360	0.0516	0.0338	0.0312	0.0329	0.0337	0.0337	0.0323	64	52	48	98	99	148	245	247	490	467	911
complete_protonshape	6	2867	0.9724	44.39	11	1.0920	0.1070	1.424	0.026	0.167	0.6133	0.8981	1.1734	1.3925	1.5678	1.1874	1.1550	1.2282	1.0511	0.9858	0.9984	0.2047	0.3310	0.3710	0.3883	0.1626	0.0738	0.0601	0.0644	0.0414	0.0425	0.0364	8	6	6	12	12	22	38	40	89	91	183
