# doc pdvd/50 r2 d51_dqdx_rr_apa.py det=pdvd ref=stm/pdvd_ref_dqdx_045.json status=5 max_abs_x=305 low_thr=21586 (0.40 x plateau 53965.5) complete_max_flow=0.05 files=120
det	event	block	cluster	status	npts	nkept	ngood	length	len_kept	pts_per_cm	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	reach	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	n_u0	n_u1	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdvd	039349_18_d51vstm	200	20	5	183	183	183	120.5301	120.5301	1.5183	183	121.1301	0.0000	0	0.0328	0.0000	120.5301	1	8	0.4790	0.8547	0.2444	0.5169	0.2734	muon	2.1697	0	1	183	0	nan	nan	nan	53853	50283	52276	61355	82979	54608	55410	53558	2	2	1	3	3	5	7	7	14	14	32
pdvd	039349_19_d51vstm	270	27	5	193	193	193	124.8904	124.8904	1.5454	193	125.4904	0.0000	0	0.0000	0.0000	124.8904	1	7	1.0142	0.8450	0.1530	0.5139	0.1956	muon	1.1798	0	1	193	0	nan	nan	nan	nan	62765	50589	52360	46934	64244	54005	52543	2	2	2	2	3	5	8	7	16	14	29
pdvd	039349_1_d51vstm	560	56	5	290	290	290	186.9125	186.9125	1.5515	290	186.8963	0.0000	0	0.0448	0.0000	186.9125	1	7	2.1458	0.9334	0.1932	0.5677	0.2312	muon	1.6298	0	1	0	290	nan	nan	nan	nan	51812	54904	72387	65029	58933	59482	60817	2	1	2	2	3	5	8	7	15	15	31
pdvd	039349_20_d51vstm	250	25	5	208	208	154	130.4033	130.4033	1.1810	208	131.0033	0.0000	0	0.0260	32.7786	130.4033	0	2	nan	0.8949	0.1455	0.5877	0.1757	muon	1.6318	0	1	154	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	43759	56854	0	0	0	0	0	0	0	0	0	13	29
pdvd	039349_20_d51vstm	360	36	5	131	131	0	81.8656	81.8656	0.0000	131	82.4656	0.0000	0	nan	nan	nan	0	0	nan	nan	nan	nan	nan	none	2.5098	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0
pdvd	039349_20_d51vstm	740	74	5	297	297	297	190.5262	190.5262	1.5588	297	191.1262	0.0000	0	0.0034	0.0000	190.5262	1	8	3.2857	0.9445	0.1356	0.5713	0.1637	muon	1.3301	0	1	0	297	nan	nan	nan	61344	78857	63420	67724	67508	55782	61165	54288	2	1	1	4	3	5	8	8	17	16	32
pdvd	039349_21_d51vstm	550	55	5	132	132	51	86.1220	86.1220	0.5922	132	86.7220	0.0000	0	0.0000	0.0000	32.2353	1	7	1.1992	0.8904	0.2105	0.5300	0.2195	muon	2.3206	0	1	0	51	nan	nan	nan	123550	65127	51438	50517	52544	55337	54517	nan	2	2	1	3	3	4	8	8	16	4	0
pdvd	039349_23_d51vstm	300	30	5	264	264	259	168.8080	168.8080	1.5343	264	169.4080	0.0000	0	0.0541	0.0000	168.8080	1	8	1.8348	0.7000	0.5322	0.4234	0.5587	muon	1.9304	0	0	259	0	nan	nan	nan	39872	27293	23195	91508	73251	49929	55300	50618	2	2	2	3	3	5	8	6	17	15	32
pdvd	039349_23_d51vstm	530	53	5	210	210	200	137.3740	137.3740	1.4559	210	137.9740	0.0000	0	0.0650	0.0000	131.4635	1	7	0.7826	0.6378	0.6086	0.3882	0.6410	muon	1.1844	0	0	0	200	nan	nan	nan	16288	nan	26394	64282	49708	51763	59550	51941	2	2	1	4	2	5	6	8	16	14	31
pdvd	039349_24_d51vstm	770	77	5	700	700	688	465.9392	465.9392	1.4766	700	455.9447	0.0000	0	0.0262	7.8158	465.9392	0	6	nan	1.0901	0.0816	0.6684	0.0716	proton	1.3137	0	1	546	142	nan	nan	nan	nan	nan	78646	72743	81388	62720	61219	54174	0	0	0	0	0	4	8	8	15	15	30
pdvd	039349_25_d51vstm	680	68	5	822	822	751	536.9591	536.9591	1.3986	822	531.0793	0.0000	0	0.0826	0.0000	492.1795	1	7	1.9484	0.7560	0.6642	0.4598	0.6950	muon	1.5866	0	0	150	601	nan	nan	nan	nan	83194	28060	13421	67498	70471	69377	63136	2	1	2	2	3	4	8	7	14	16	31
pdvd	039349_26_d51vstm	120	12	5	217	217	217	139.6881	139.6881	1.5535	217	140.2881	0.0000	0	0.0046	0.0000	139.6881	1	8	0.7573	0.9036	0.2524	0.5465	0.2658	muon	1.7966	0	1	217	0	nan	nan	nan	54153	87032	104913	46682	51137	50385	52523	58386	2	1	1	3	3	4	7	7	17	17	31
