# per tier: ntracks, npoints, k_pop (vs MuonDeDx), chi2 over populated bins (3%% floor),
# then per-bin median(dqdx/(k_pop*muon ref)), per-bin err, per-bin npoints.
# pts_per_cm_med and reach_frac are the round-2 additions: read f_low_med WITH
# pts_per_cm_med (deletion vs recovery), and reach_frac attributes a tier collapse.
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	f_low_med	pts_per_cm_med	reach_frac	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	323	95971	0.9645	2718.83	11	0.7322	0.3204	1.174	0.082	1.563	0.972	0.204	0.3275	0.4042	0.5066	0.6106	0.7036	0.7547	0.8462	0.9223	0.9558	0.9721	1.0048	0.0179	0.0247	0.0293	0.0262	0.0287	0.0284	0.0280	0.0295	0.0297	0.0299	0.0305	643	507	465	942	939	1413	2352	2310	4649	4519	8331
contrast_ge2	85	27407	1.0022	9.86	11	1.0292	0.3359	2.614	0.057	1.568	1.000	0.212	0.9136	1.0067	0.9420	0.9755	1.0060	1.0148	1.0361	1.0330	1.0097	0.9794	1.0299	0.0451	0.0440	0.0421	0.0376	0.0360	0.0346	0.0329	0.0328	0.0320	0.0310	0.0315	172	137	131	262	263	391	642	629	1283	1265	2268
doc55_cuts	20	7850	1.0388	19.84	11	1.0936	0.0597	2.458	0.009	1.572	1.000	0.150	1.0400	1.0148	0.9982	1.0268	1.0529	1.0873	1.0415	1.0615	1.0696	1.0181	1.0332	0.0434	0.0473	0.0423	0.0349	0.0363	0.0369	0.0329	0.0339	0.0336	0.0317	0.0318	41	31	31	60	68	95	157	158	308	318	597
doc55_muon	20	7850	1.0388	19.84	11	1.0936	0.0597	2.458	0.009	1.572	1.000	0.150	1.0400	1.0148	0.9982	1.0268	1.0529	1.0873	1.0415	1.0615	1.0696	1.0181	1.0332	0.0434	0.0473	0.0423	0.0349	0.0363	0.0369	0.0329	0.0339	0.0336	0.0317	0.0318	41	31	31	60	68	95	157	158	308	318	597
complete	130	48007	1.0311	583.43	11	0.9753	0.1709	1.390	0.014	1.564	0.992	0.308	0.4617	0.5436	0.6669	0.7668	0.8965	0.9522	0.9875	1.0025	1.0213	1.0082	1.0134	0.0323	0.0364	0.0380	0.0306	0.0328	0.0322	0.0313	0.0313	0.0313	0.0307	0.0306	263	204	195	398	402	596	1000	1006	2018	1988	3713
complete_bragg	40	15378	1.0446	14.69	11	1.0661	0.1462	2.458	0.012	1.571	1.000	0.200	1.0274	1.0189	0.9580	0.9754	1.0390	1.0591	1.0491	1.0457	1.0417	1.0100	1.0475	0.0483	0.0445	0.0388	0.0346	0.0350	0.0340	0.0325	0.0325	0.0324	0.0313	0.0319	80	64	63	121	128	185	305	306	628	620	1130
complete_muonshape	105	40778	1.0311	683.55	11	0.9597	0.1682	1.185	0.013	1.562	1.000	0.276	0.4505	0.4920	0.6375	0.6921	0.8533	0.8957	0.9535	0.9923	1.0199	1.0117	1.0229	0.0349	0.0348	0.0391	0.0305	0.0331	0.0315	0.0306	0.0312	0.0313	0.0309	0.0309	211	161	156	323	320	479	798	813	1645	1646	3121
complete_protonshape	25	7229	1.0308	55.08	11	1.0345	0.1702	1.787	0.020	1.571	0.960	0.440	0.5585	0.7482	0.9053	0.9479	1.0406	1.1069	1.1116	1.0384	1.0270	0.9883	0.9681	0.0829	0.0984	0.0747	0.0468	0.0580	0.0421	0.0408	0.0366	0.0347	0.0334	0.0305	52	43	39	75	82	117	202	193	373	342	592
