# doc pdvd/50 r2: dQ/dx vs rr per READOUT-UNIT SELECTION, per tier.
# Selections are on POINTS, so units are NOT disjoint at track level -- a track
# crossing APAs contributes to more than one row.  ntracks counts tracks with at
# least one point in the selection.
# plateau_ratio is median(dqdx / muon table) over rr in [40, 60) with NO free
# scale; plateau_ratio_hi is the same over points above 0.5 x plateau only
# (doc 50 sec 4.2's 'the surviving points are right to 5 %' test).
# band_* are ABSOLUTE plateau point counts by dqdx/table, not fractions.
tier	sel	units	ntracks	npoints	k_pop	chi2	nbins	plateau_ratio	plateau_npts	plateau_ratio_hi	plateau_npts_hi	killed_frac	band_lt0.2	band_0.2-0.5	band_0.5-0.8	band_0.8-1.2	band_gt1.2	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	all	0+1+2+3	13	5824	0.9204	503.19	11	0.9934	360	1.0185	318	0.1167	7	40	62	186	65	0.3492	0.1856	0.3270	0.3606	0.6141	0.6412	0.8927	0.9629	0.9809	1.0952	1.0793	0.1027	0.0557	0.0782	0.0597	0.0679	0.0875	0.0709	0.0596	0.0610	0.0468	0.0386	26	22	17	42	40	61	104	97	191	189	360
all_kept	APA0	0	9	3255	0.7250	281.38	11	0.7911	198	0.9157	156	0.2121	7	40	53	73	25	0.3243	0.3760	0.2039	0.3556	0.6805	0.6066	0.8882	0.7455	0.8187	1.2580	1.0912	0.1033	0.1336	0.1095	0.0637	0.0757	0.0937	0.1160	0.0831	0.0685	0.1019	0.0590	16	15	11	24	25	38	63	58	112	107	198
all_kept	APA1	1	2	395	0.9910	138.21	6	0.8949	32	0.8949	32	0.0000	0	0	8	16	8	nan	nan	nan	nan	nan	0.6710	0.8601	0.8562	1.0065	0.9603	0.9030	nan	nan	nan	nan	nan	0.0292	0.0983	0.0601	0.1039	0.0870	0.0519	2	2	0	3	3	5	8	8	16	17	32
all_kept	APA2	2	4	870	0.9667	43.85	8	1.0710	66	1.0710	66	0.0000	0	0	1	53	12	nan	nan	nan	1.1681	1.0029	1.0990	1.2099	1.1620	1.2511	1.0935	1.1079	nan	nan	nan	0.0686	0.1250	0.0928	0.0793	0.0791	0.0732	0.0393	0.0379	4	3	3	7	6	9	16	16	32	32	66
all_kept	APA3	3	3	1304	1.0430	47.75	8	1.1086	64	1.1086	64	0.0000	0	0	0	44	20	nan	nan	nan	0.5128	0.5854	0.3289	0.8333	0.9601	1.1548	1.1578	1.0629	nan	nan	nan	0.2214	0.2533	0.1763	0.0713	0.0399	0.0670	0.0468	0.0395	4	2	3	8	6	9	17	15	31	33	64
all_kept	noAPA0	1+2+3	8	2569	1.0138	354.78	11	1.0697	162	1.0697	162	0.0000	0	0	9	113	40	0.3421	0.1104	0.3650	0.5020	0.7328	0.9210	1.0110	0.9933	1.1789	1.0706	1.0551	0.1714	0.0554	0.0873	0.1566	0.1681	0.1046	0.0625	0.0369	0.0566	0.0390	0.0360	10	7	6	18	15	23	41	39	79	82	162
all_kept	face0_xneg	0+2	10	4125	0.8166	457.13	11	0.9416	264	1.0024	222	0.1591	7	40	54	126	37	0.2913	0.2092	0.3094	0.4170	0.7231	0.6349	1.0043	0.9070	0.8542	1.2254	1.1530	0.0793	0.0543	0.0901	0.0822	0.0810	0.0926	0.1037	0.1038	0.0730	0.0623	0.0460	20	18	14	31	31	47	79	74	144	139	264
all_kept	face1_xpos	1+3	4	1699	1.0334	113.20	9	1.0500	96	1.0500	96	0.0000	0	0	8	60	28	0.5345	nan	nan	0.2911	0.4445	0.6392	0.8410	0.9301	1.1467	1.0726	1.0160	0.3401	nan	nan	0.0844	0.1308	0.1493	0.0627	0.0389	0.0668	0.0478	0.0400	6	4	3	11	9	14	25	23	47	50	96
complete	all	0+1+2+3	2	926	1.0138	35.93	8	1.0124	63	1.0124	63	0.0000	0	0	8	43	12	nan	nan	nan	0.8512	0.7714	0.6988	0.9875	0.9465	0.9481	0.9803	0.9986	nan	nan	nan	0.0875	0.2150	0.0560	0.0554	0.0448	0.0440	0.0509	0.0431	4	3	1	7	6	9	17	15	31	33	63
complete	APA1	1	1	259	0.9768	124.84	6	0.8949	32	0.8949	32	0.0000	0	0	8	16	8	nan	nan	nan	nan	nan	0.6807	0.8726	0.8687	1.0212	0.9743	0.9162	nan	nan	nan	nan	nan	0.0297	0.0997	0.0610	0.1054	0.0882	0.0526	2	2	0	3	3	5	8	8	16	17	32
complete	APA3	3	2	667	1.0324	3.39	5	1.0526	31	1.0526	31	0.0000	0	0	0	27	4	nan	nan	nan	nan	nan	nan	0.9907	0.9754	0.9210	0.9929	1.0196	nan	nan	nan	nan	nan	nan	0.0496	0.0448	0.0469	0.0475	0.0431	2	1	1	4	3	4	9	7	15	16	31
