# per tier: ntracks, npoints, k_pop (vs MuonDeDx), chi2 over populated bins (3%% floor),
# then per-bin median(dqdx/(k_pop*muon ref)), per-bin err, per-bin npoints.
# pts_per_cm_med and reach_frac are the round-2 additions: read f_low_med WITH
# pts_per_cm_med (deletion vs recovery), and reach_frac attributes a tier collapse.
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	f_low_med	pts_per_cm_med	reach_frac	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	56	17221	0.9404	88.49	11	0.8521	0.1919	1.799	0.033	1.514	0.875	0.054	0.7498	0.7299	0.8352	0.7846	0.8654	0.8215	0.9452	1.0447	1.0581	1.0330	1.0217	0.0971	0.0738	0.0639	0.0501	0.0447	0.0352	0.0344	0.0364	0.0337	0.0329	0.0315	100	72	78	149	149	225	382	378	760	779	1535
contrast_ge2	17	6251	0.8879	47.77	11	0.7850	0.2228	2.894	0.045	1.507	1.000	0.000	1.2552	1.0902	1.1246	0.8911	0.7379	0.9620	1.1173	1.1173	1.1052	1.0552	1.0541	0.0782	0.0564	0.0765	0.0925	0.0996	0.0733	0.0538	0.0488	0.0372	0.0367	0.0337	34	24	26	54	51	80	133	130	242	266	486
doc55_cuts	0	0
doc55_muon	0	0
complete	34	10649	0.9715	75.45	11	0.9079	0.1406	1.749	0.025	1.531	0.941	0.059	0.7538	0.7520	0.8131	0.8047	0.9571	0.8143	0.9355	1.0085	1.0249	1.0120	1.0079	0.1202	0.0803	0.0602	0.0501	0.0572	0.0329	0.0342	0.0370	0.0329	0.0324	0.0311	64	47	51	96	100	148	259	251	502	512	1008
complete_bragg	10	3576	0.9253	37.71	11	0.8936	0.1998	3.108	0.030	1.555	1.000	0.000	1.3609	1.1434	1.1314	0.9651	0.9969	0.9487	1.1389	1.0810	1.0534	1.0521	1.0356	0.0831	0.0883	0.1301	0.1061	0.1827	0.0881	0.0523	0.0497	0.0386	0.0370	0.0331	20	13	16	32	29	44	79	75	149	155	315
complete_muonshape	28	8018	0.9683	169.70	11	0.8836	0.0917	1.545	0.024	1.536	0.964	0.071	0.5345	0.6417	0.7511	0.7499	0.8503	0.7781	0.9040	0.9779	1.0116	1.0074	1.0181	0.0962	0.0817	0.0526	0.0465	0.0489	0.0294	0.0329	0.0362	0.0327	0.0326	0.0317	54	42	41	82	84	121	212	206	422	419	819
complete_protonshape	6	2631	0.9797	91.63	11	1.1193	0.1321	3.197	0.028	1.519	0.833	0.000	1.1005	1.2290	1.4489	1.6369	1.6020	1.2963	1.2333	1.1685	1.0931	1.0490	0.9746	0.1628	0.2948	0.2423	0.1315	0.1918	0.0780	0.0486	0.0579	0.0384	0.0403	0.0318	10	5	10	14	16	27	47	45	80	93	189
