# doc pdvd/50 r2 d51_dqdx_rr_apa.py det=pdhd ref=stm/pdhd_ref_dqdx.json status=5 max_abs_x=1e+09 low_thr=21844 (0.40 x plateau 54609.2) complete_max_flow=0.05 files=61
det	event	block	cluster	status	npts	nkept	ngood	length	len_kept	pts_per_cm	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	reach	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	n_u0	n_u1	n_u2	n_u3	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdhd	028084_12_d51hstm	350	35	5	716	716	715	459.1665	459.1665	1.5572	716	458.0251	0.0000	0	0.1958	0.0000	459.1665	1	8	0.2506	0.5995	0.3992	0.3571	0.4011	muon	5.2732	0	0	645	0	70	0	nan	nan	nan	55201	48530	35774	71947	23383	30145	69926	23351	2	1	2	3	3	5	8	9	15	16	32
pdhd	028084_27_d51hstm	320	32	5	450	450	450	282.4305	282.4305	1.5933	450	283.0305	0.0000	0	0.2289	0.0000	282.4305	1	8	1.3444	0.3664	0.7682	0.2182	0.8040	muon	4.0937	0	0	450	0	0	0	nan	nan	nan	8079	17281	19641	19705	71939	27506	28477	50726	2	2	2	3	4	5	8	9	16	16	31
pdhd	028084_3_d51hstm	900	90	5	637	637	637	400.5090	400.5090	1.5905	637	401.1090	0.0000	0	0.0659	0.0000	400.5090	1	8	0.6854	0.5329	0.9358	0.3174	0.9751	muon	2.9271	0	0	0	0	0	637	nan	nan	nan	15040	23562	8040	43948	63135	81135	71195	67725	2	1	2	4	3	5	8	8	16	17	33
pdhd	028084_4_d51hstm	160	16	5	80	80	80	51.1875	51.1875	1.5629	80	51.7875	0.0000	0	0.2250	0.0000	51.1875	1	8	3.7385	0.5429	0.3072	0.3233	0.3267	muon	4.9922	0	0	80	0	0	0	nan	nan	nan	25417	53707	36882	37412	38414	35671	50727	27408	2	2	1	4	3	5	8	6	16	15	18
pdhd	029107_0_d51hstm	350	35	5	613	613	608	388.9105	388.9105	1.5633	613	387.6839	0.0000	0	0.0822	0.0000	388.9105	1	7	0.1727	0.1819	2.4429	0.1089	2.4790	muon	2.3821	0	0	219	0	389	0	nan	nan	nan	nan	60	6082	14152	23035	62477	78424	58898	2	2	2	0	3	5	7	8	16	15	29
pdhd	029107_16_d51hstm	1220	122	5	612	612	612	395.1918	395.1918	1.5486	612	393.4231	0.0000	0	0.0801	0.0000	395.1918	1	8	3.6669	0.8245	0.6234	0.4910	0.6428	muon	4.0211	0	0	476	136	0	0	nan	nan	nan	107659	91698	12454	70276	64478	44085	67886	60879	2	2	1	3	3	4	8	8	16	15	30
pdhd	029107_20_d51hstm	310	31	5	628	628	627	402.2278	402.2278	1.5588	628	402.8278	0.0000	0	0.2185	0.0000	402.2278	1	8	1.3574	0.4019	0.2724	0.2394	0.3104	muon	4.5596	0	0	627	0	0	0	nan	nan	nan	26260	40628	21219	32174	21426	24561	22758	37095	2	2	1	4	3	5	8	8	17	14	29
pdhd	029107_20_d51hstm	380	38	5	29	29	29	16.9313	16.9313	1.7128	29	17.5313	0.0000	0	0.3793	0.0000	16.9313	0	5	nan	0.4315	0.4540	0.2477	0.4500	proton	2.5021	0	0	29	0	0	0	nan	nan	nan	18701	43290	59770	34173	22433	nan	nan	nan	2	2	2	4	3	5	8	3	0	0	0
pdhd	029107_20_d51hstm	1480	148	5	226	226	226	141.9515	141.9515	1.5921	226	142.5515	0.0000	0	0.0000	0.0000	141.9515	1	8	2.2072	0.9920	0.0538	0.5908	0.0947	muon	1.7663	1	1	0	0	0	226	nan	nan	nan	80273	84289	72745	69820	64529	57976	58906	58887	2	1	1	4	3	4	9	7	15	16	31
pdhd	029107_25_d51hstm	860	86	5	700	700	700	440.5946	440.5946	1.5888	700	439.0156	0.0000	0	0.0214	0.0000	440.5946	1	8	0.0991	0.7002	0.3963	0.4170	0.4295	muon	1.6256	0	1	0	259	0	441	nan	nan	nan	27472	37826	50216	56663	55192	60977	55048	50141	2	2	0	3	3	5	8	8	16	17	32
pdhd	029107_28_d51hstm	420	42	5	226	226	226	140.9646	140.9646	1.6032	226	141.5646	0.0000	0	0.1106	0.0000	140.9646	1	8	0.2089	1.1330	0.4662	0.6748	0.4784	muon	2.2122	0	0	0	0	226	0	nan	nan	nan	43187	60386	76612	116260	150863	91445	65963	61075	2	2	2	3	3	4	8	8	16	17	33
pdhd	029107_3_d51hstm	220	22	5	593	593	593	378.9801	378.9801	1.5647	593	377.1240	0.0000	0	0.0793	0.0000	378.9801	1	8	0.8984	1.1023	0.0548	0.6565	0.0528	proton	4.1574	0	0	408	0	185	0	nan	nan	nan	107350	90498	87405	77141	65712	70137	58358	58807	2	1	1	4	3	5	8	8	16	15	33
pdhd	029107_6_d51hstm	450	45	5	322	322	321	271.4060	271.4060	1.1827	322	272.0060	0.0000	0	0.2399	0.0000	271.4060	1	8	3.4059	0.5978	0.6133	0.3560	0.6284	muon	3.9646	0	0	321	0	0	0	nan	nan	nan	13181	39641	69398	87238	44348	30193	38358	47731	2	2	0	3	3	5	7	7	16	16	29
