# doc pdvd/50 r2: dQ/dx vs rr per READOUT-UNIT SELECTION, per tier.
# Selections are on POINTS, so units are NOT disjoint at track level -- a track
# crossing APAs contributes to more than one row.  ntracks counts tracks with at
# least one point in the selection.
# plateau_ratio is median(dqdx / muon table) over rr in [40, 60) with NO free
# scale; plateau_ratio_hi is the same over points above 0.5 x plateau only
# (doc 50 sec 4.2's 'the surviving points are right to 5 %' test).
# band_* are ABSOLUTE plateau point counts by dqdx/table, not fractions.
tier	sel	units	ntracks	npoints	k_pop	chi2	nbins	plateau_ratio	plateau_npts	plateau_ratio_hi	plateau_npts_hi	killed_frac	band_lt0.2	band_0.2-0.5	band_0.5-0.8	band_0.8-1.2	band_gt1.2	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	all	0+1	542	136934	0.9300	2448.58	11	0.9530	13965	0.9833	12459	0.1078	579	955	2012	8080	2339	0.3756	0.4908	0.6268	0.7275	0.8251	0.8914	0.9572	0.9833	0.9963	1.0264	1.0248	0.0160	0.0223	0.0252	0.0246	0.0270	0.0281	0.0294	0.0300	0.0301	0.0310	0.0309	1032	796	774	1533	1534	2312	3830	3823	7576	7369	13965
all_kept	bottom_xneg	0	214	54232	1.0142	2210.47	11	1.0476	5525	1.0631	5170	0.0643	121	245	500	3281	1378	0.3435	0.4539	0.5801	0.6725	0.7601	0.8224	0.9201	0.9574	0.9945	1.0257	1.0329	0.0186	0.0263	0.0286	0.0247	0.0266	0.0272	0.0289	0.0297	0.0303	0.0311	0.0312	379	300	275	579	561	865	1450	1441	2907	2879	5525
all_kept	top_xpos	1	361	82702	0.8790	1437.17	11	0.8975	8440	0.9275	7289	0.1364	458	710	1512	4799	961	0.3988	0.5156	0.6541	0.7654	0.8683	0.9383	0.9806	1.0023	0.9950	1.0091	1.0210	0.0197	0.0287	0.0304	0.0284	0.0301	0.0307	0.0306	0.0310	0.0303	0.0307	0.0308	653	496	499	954	973	1447	2380	2382	4669	4490	8440
complete	all	0+1	298	82358	0.9703	1057.52	11	1.0037	8088	1.0095	7899	0.0234	31	166	750	5530	1611	0.4553	0.5706	0.6767	0.8445	0.9205	0.9590	0.9986	1.0058	1.0146	1.0379	1.0344	0.0217	0.0271	0.0279	0.0291	0.0306	0.0302	0.0306	0.0307	0.0307	0.0314	0.0312	578	441	442	874	866	1313	2198	2181	4327	4239	8088
complete	bottom_xneg	0	134	34342	1.0438	1351.43	11	1.0716	3636	1.0770	3530	0.0292	14	95	213	2327	987	0.3809	0.4969	0.5926	0.7351	0.8099	0.8657	0.9462	0.9711	0.9997	1.0295	1.0266	0.0237	0.0296	0.0270	0.0284	0.0304	0.0291	0.0300	0.0303	0.0305	0.0313	0.0310	245	192	179	370	360	552	927	921	1871	1866	3636
complete	top_xpos	1	185	48016	0.9187	349.67	11	0.9469	4452	0.9511	4369	0.0186	17	71	537	3203	624	0.5284	0.6855	0.7561	0.9334	1.0085	1.0252	1.0452	1.0409	1.0228	1.0381	1.0308	0.0312	0.0381	0.0378	0.0348	0.0346	0.0331	0.0325	0.0321	0.0311	0.0315	0.0311	333	249	263	504	506	761	1271	1260	2456	2373	4452
complete_bragg	all	0+1	57	15982	0.9509	47.76	11	0.9904	1512	0.9967	1483	0.0192	3	27	170	1069	243	0.9966	1.0721	1.0777	1.0965	1.0788	1.0786	1.1017	1.1005	1.0507	1.0433	1.0415	0.0396	0.0406	0.0367	0.0358	0.0362	0.0348	0.0344	0.0348	0.0326	0.0323	0.0318	118	79	97	176	176	266	448	437	877	814	1512
complete_bragg	bottom_xneg	0	21	4300	1.0526	12.03	11	1.0550	493	1.0596	480	0.0264	2	11	34	351	95	0.9864	1.0440	1.0217	1.0317	1.0254	1.0440	1.0659	1.0769	1.0162	1.0072	1.0023	0.0525	0.0409	0.0377	0.0355	0.0525	0.0395	0.0349	0.0370	0.0329	0.0318	0.0312	41	28	32	63	62	91	158	152	300	269	493
complete_bragg	top_xpos	1	42	11682	0.9133	54.02	11	0.9552	1019	0.9601	1003	0.0157	1	16	136	718	148	0.9956	1.0573	1.0705	1.1243	1.0961	1.0992	1.0984	1.1068	1.0601	1.0408	1.0459	0.0411	0.0458	0.0388	0.0384	0.0379	0.0350	0.0344	0.0354	0.0331	0.0326	0.0322	77	51	65	113	114	175	290	285	577	545	1019
