# per tier: ntracks, npoints, k_pop (vs MuonDeDx), chi2 over populated bins (3%% floor),
# then per-bin median(dqdx/(k_pop*muon ref)), per-bin err, per-bin npoints.
# pts_per_cm_med and reach_frac are the round-2 additions: read f_low_med WITH
# pts_per_cm_med (deletion vs recovery), and reach_frac attributes a tier collapse.
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	f_low_med	pts_per_cm_med	reach_frac	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	13	5824	0.9204	503.19	11	0.5978	0.2811	1.121	0.111	1.565	0.923	0.000	0.3492	0.1856	0.3270	0.3606	0.6141	0.6412	0.8927	0.9629	0.9809	1.0952	1.0793	0.1027	0.0557	0.0782	0.0597	0.0679	0.0875	0.0709	0.0596	0.0610	0.0468	0.0386	26	22	17	42	40	61	104	97	191	189	360
contrast_ge2	4	1239	0.9166	24.77	10	0.7111	0.1801	3.536	0.153	1.556	1.000	0.000	1.2174	1.0950	nan	0.7408	0.8170	0.7537	1.1105	0.8810	0.7808	1.0892	1.0724	0.2187	0.2839	nan	0.2400	0.1633	0.1346	0.0631	0.1043	0.0713	0.0611	0.0520	8	7	3	14	12	18	32	28	63	62	108
doc55_cuts	1	226	1.0143	2.56	5	0.9920	0.0000	2.207	0.000	1.592	1.000	0.000	nan	nan	nan	nan	nan	nan	1.0084	0.9928	0.9374	1.0106	1.0377	nan	nan	nan	nan	nan	nan	0.0505	0.0456	0.0478	0.0484	0.0438	2	1	1	4	3	4	9	7	15	16	31
doc55_muon	1	226	1.0143	2.56	5	0.9920	0.0000	2.207	0.000	1.592	1.000	0.000	nan	nan	nan	nan	nan	nan	1.0084	0.9928	0.9374	1.0106	1.0377	nan	nan	nan	nan	nan	nan	0.0505	0.0456	0.0478	0.0484	0.0438	2	1	1	4	3	4	9	7	15	16	31
complete	2	926	1.0138	35.93	8	0.8461	0.1459	1.153	0.011	1.590	1.000	0.000	nan	nan	nan	0.8512	0.7714	0.6988	0.9875	0.9465	0.9481	0.9803	0.9986	nan	nan	nan	0.0875	0.2150	0.0560	0.0554	0.0448	0.0440	0.0509	0.0431	4	3	1	7	6	9	17	15	31	33	63
complete_bragg	1	226	1.0143	2.56	5	0.9920	0.0000	2.207	0.000	1.592	1.000	0.000	nan	nan	nan	nan	nan	nan	1.0084	0.9928	0.9374	1.0106	1.0377	nan	nan	nan	nan	nan	nan	0.0505	0.0456	0.0478	0.0484	0.0438	2	1	1	4	3	4	9	7	15	16	31
complete_muonshape	2	926	1.0138	35.93	8	0.8461	0.1459	1.153	0.011	1.590	1.000	0.000	nan	nan	nan	0.8512	0.7714	0.6988	0.9875	0.9465	0.9481	0.9803	0.9986	nan	nan	nan	0.0875	0.2150	0.0560	0.0554	0.0448	0.0440	0.0509	0.0431	4	3	1	7	6	9	17	15	31	33	63
complete_protonshape	0	0
