det	event	seg	rr	dqdx	x	y	z	dx
pdhd	029107_23_d51hnu	-81973860	0.60	117637.4	73.27	547.62	382.67	0.600
pdhd	029107_23_d51hnu	-81973860	1.20	103280.5	73.10	548.18	382.52	0.600
pdhd	029107_23_d51hnu	-81973860	1.80	87209.4	72.93	548.73	382.37	0.600
pdhd	029107_23_d51hnu	-81973860	2.40	83666.4	72.53	549.16	382.25	0.600
pdhd	029107_23_d51hnu	-81973860	3.00	78169.5	72.63	549.72	382.07	0.600
pdhd	029107_23_d51hnu	-81973860	3.60	74432.5	72.63	550.31	381.94	0.600
pdhd	029107_23_d51hnu	-81973860	4.20	76361.9	72.42	550.84	381.76	0.600
