# doc pdvd/50 r2 d51_dqdx_rr_apa.py det=pdvd ref=stm/pdvd_ref_dqdx_045.json status=0 max_abs_x=305 low_thr=21586 (0.40 x plateau 53965.5) complete_max_flow=0.05 files=120
det	event	block	cluster	status	npts	nkept	ngood	length	len_kept	pts_per_cm	kink	exit_L	left_L	has_left	f_low	rrmin	rrmax	reach	nbins	contrast	k_muon	shape_muon	k_proton	shape_proton	best	med_chi2	doc55	complete	n_u0	n_u1	med_0_1	med_1_2	med_2_3	med_3_5	med_5_7	med_7_10	med_10_15	med_15_20	med_20_30	med_30_40	med_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
pdvd	039252_0_d51vstm	350	35	0	464	464	398	305.7685	305.7685	1.3016	464	298.8809	0.0000	0	0.0126	0.0000	262.9476	1	8	1.0074	0.8699	0.2062	0.5261	0.2424	muon	1.3410	0	1	398	0	nan	nan	nan	55180	59672	55816	54196	65119	57374	70912	50963	2	2	2	3	3	4	7	8	16	15	31
pdvd	039252_0_d51vstm	750	75	0	507	501	450	331.9694	328.7357	1.3689	500	328.7687	3.8007	1	0.0356	0.0000	295.4047	1	7	1.5915	0.9412	0.0887	0.5724	0.0897	muon	1.3877	0	1	0	450	nan	nan	nan	nan	67104	71958	74773	59433	58250	47897	50529	2	1	2	2	3	4	8	7	15	15	29
pdvd	039252_0_d51vstm	760	76	0	575	575	517	367.7104	367.7104	1.4060	575	368.3104	0.0000	0	0.0116	0.0000	330.5139	1	8	2.1723	0.9880	0.0512	0.5976	0.0523	muon	1.0748	1	1	0	517	nan	nan	nan	84443	86481	71261	69417	65281	57859	51467	53032	2	2	1	3	4	4	9	7	15	15	34
pdvd	039252_0_d51vstm	770	77	0	198	198	198	125.4288	125.4288	1.5786	198	126.0288	0.0000	0	0.0051	0.0000	125.4288	1	7	2.1095	1.0016	0.1164	0.6091	0.1271	muon	1.5123	0	1	0	198	nan	nan	nan	nan	64581	77807	71291	71911	56373	63959	50334	2	2	2	2	4	5	7	9	17	16	28
pdvd	039252_0_d51vstm	820	82	0	166	156	156	110.7440	104.0955	1.4986	155	104.1478	7.1961	1	0.1282	0.0000	104.0955	1	8	2.3187	0.9126	0.0741	0.5520	0.0343	proton	1.4832	1	0	0	156	nan	nan	nan	82433	77539	73553	63228	56599	56437	48701	42696	2	2	1	3	3	5	7	8	15	15	30
pdvd	039252_10_d51vstm	730	73	0	551	537	470	349.4245	340.1973	1.3816	536	340.2420	9.7825	1	0.0213	0.0000	298.5690	1	7	1.5238	0.9767	0.0402	0.5944	0.0572	muon	1.1071	0	1	0	470	nan	nan	nan	85756	nan	70626	70322	59581	58330	57925	50652	2	2	2	3	2	5	9	7	15	16	32
pdvd	039252_10_d51vstm	1030	103	0	208	208	208	140.0316	140.0316	1.4854	208	134.7182	0.0000	0	0.0481	0.0000	140.0316	1	8	2.5093	1.1124	0.0817	0.6728	0.0872	muon	0.9482	1	1	125	83	nan	nan	nan	110725	93556	68868	79870	70133	66156	63369	57395	2	2	1	3	3	5	9	7	15	16	31
pdvd	039252_12_d51vstm	440	44	0	238	238	236	152.4909	152.4909	1.5476	238	153.0909	0.0000	0	0.0297	0.0000	152.4909	1	8	2.4134	1.1376	0.0494	0.6881	0.0448	proton	1.8921	1	1	236	0	nan	nan	nan	103622	90048	84902	82428	76536	63055	60802	60063	2	1	1	4	3	4	6	9	16	15	32
pdvd	039252_12_d51vstm	450	45	0	138	138	138	89.2741	89.2741	1.5458	138	89.8741	0.0000	0	0.0435	0.0000	89.2741	1	8	0.7698	0.9687	0.1820	0.5859	0.2159	muon	1.2189	0	1	138	0	nan	nan	nan	62050	62806	67552	62969	73617	72125	61681	58588	2	1	2	3	3	5	7	7	17	13	33
pdvd	039252_12_d51vstm	880	88	0	74	74	0	46.1902	46.1902	0.0000	74	46.7902	0.0000	0	nan	nan	nan	0	0	nan	nan	nan	nan	nan	none	10.7354	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0
pdvd	039252_12_d51vstm	900	90	0	198	198	198	125.3911	125.3911	1.5791	198	125.9911	0.0000	0	0.0000	0.0000	125.3911	1	8	0.9460	0.7206	0.3674	0.4424	0.3621	proton	1.6077	0	1	0	198	46510	nan	nan	53509	nan	61466	52028	52247	54137	51865	51046	3	1	1	4	2	4	8	8	15	15	29
pdvd	039252_12_d51vstm	950	95	0	242	240	237	156.7099	155.6255	1.5229	239	155.4928	1.8171	1	0.0422	0.0000	155.6255	1	8	0.5555	1.0588	0.0408	0.6404	0.0381	proton	1.4084	0	1	0	237	nan	nan	nan	99101	85334	77031	71471	71545	61539	57863	54623	2	1	2	3	3	5	8	8	15	14	31
pdvd	039252_12_d51vstm	1140	114	0	92	92	92	57.6821	57.6821	1.5949	92	58.2821	0.0000	0	0.1957	0.0000	57.6821	1	9	0.6927	0.4829	0.5640	0.2945	0.5621	proton	5.4910	0	0	0	92	19835	nan	nan	37917	52616	38861	35377	35787	19885	47729	50670	3	1	2	3	3	5	8	8	16	16	27
