# per tier: ntracks, npoints, k_pop (vs MuonDeDx), chi2 over populated bins (3%% floor),
# then per-bin median(dqdx/(k_pop*muon ref)), per-bin err, per-bin npoints
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	f_low_med	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60	n_0_1	n_1_2	n_2_3	n_3_5	n_5_7	n_7_10	n_10_15	n_15_20	n_20_30	n_30_40	n_40_60
all_kept	303	77801	0.8856	12478.47	11	0.5030	0.3194	0.897	0.262	0.155	0.1916	0.1863	0.3269	0.4101	0.4354	0.4765	0.6575	0.8410	0.9232	0.8088	0.8496	0.0103	0.0134	0.0247	0.0232	0.0247	0.0238	0.0259	0.0319	0.0311	0.0276	0.0273	612	430	354	666	680	1097	1963	2077	4244	4210	6923
contrast_ge2	57	16599	0.7838	2407.56	11	0.2379	0.3739	3.114	0.435	0.298	0.4651	0.4561	0.5878	0.5914	0.4702	0.4519	0.4707	0.5284	0.3753	0.3471	0.7685	0.0458	0.0633	0.0875	0.0693	0.0538	0.0505	0.0414	0.0458	0.0239	0.0214	0.0359	116	85	82	144	147	214	356	343	664	756	1374
doc55_cuts	1	365	1.1328	9.64	6	1.1641	0.0000	2.424	0.008	0.000	nan	nan	nan	nan	nan	1.1156	0.9845	0.9731	0.9239	1.0979	0.9900	nan	nan	nan	nan	nan	0.0771	0.0334	0.0358	0.0563	0.0451	0.0417	2	2	2	3	3	5	9	8	15	15	32
doc55_muon	1	365	1.1328	9.64	6	1.1641	0.0000	2.424	0.008	0.000	nan	nan	nan	nan	nan	1.1156	0.9845	0.9731	0.9239	1.0979	0.9900	nan	nan	nan	nan	nan	0.0771	0.0334	0.0358	0.0563	0.0451	0.0417	2	2	2	3	3	5	9	8	15	15	32
complete	49	21491	1.0291	914.33	11	0.8928	0.2121	0.925	0.023	0.327	0.3208	0.3962	0.5859	0.6729	0.8325	0.8192	0.8905	0.9591	1.0028	1.0339	1.0105	0.0304	0.0422	0.0513	0.0364	0.0383	0.0330	0.0332	0.0340	0.0323	0.0327	0.0309	100	69	69	138	139	206	371	386	758	750	1398
complete_bragg	6	2606	1.0495	14.40	11	1.0013	0.1352	2.238	0.016	0.333	0.9428	0.9880	1.0556	0.9296	0.9851	1.0323	1.0837	1.0336	0.9551	1.0833	0.9833	0.0618	0.0795	0.1158	0.0856	0.0587	0.0486	0.0349	0.0372	0.0444	0.0402	0.0348	12	7	11	18	20	26	49	44	95	93	187
complete_muonshape	39	17898	1.0266	1055.10	11	0.8823	0.1927	0.813	0.023	0.308	0.2961	0.3837	0.5682	0.6608	0.8096	0.7953	0.8707	0.9371	0.9941	1.0410	1.0256	0.0302	0.0391	0.0500	0.0337	0.0382	0.0313	0.0336	0.0334	0.0325	0.0335	0.0314	79	58	56	111	114	167	302	309	603	610	1118
complete_protonshape	10	3593	1.0406	44.58	11	1.0162	0.2470	1.667	0.012	0.400	0.4727	0.7362	0.7963	0.8530	1.0610	1.0310	1.0445	1.0601	1.0376	1.0056	0.9719	0.0896	0.1874	0.1448	0.0994	0.1103	0.0777	0.0559	0.0606	0.0381	0.0347	0.0330	21	11	13	27	25	39	69	77	155	140	280
