# doc pr/145 sec 5 -- mu-typed PID set, arm work-*-d144fixprod
# predictor: kine_charge/kine_range > 1.0 => EM.  Threshold from the
# population's own empty 1.0-1.2 bin, NOT fitted on labels (sec 5.8).
sample	run	subrun	event	obj	kine_charge	kine_range	ratio	dE_if_EM	nseg	length	cm_per_seg	conn	sy	sz	ey	ez	predicted	dump
mcp1k	18255	1	277298	17010	109.1	136.2	0.801	71.7	1	46.4	46.4	3	-91.99	84.42	-116.27	118.88	TRACK	work-mcp1k-d144fixprod/pr_evt277298/calib-pr-evt277298.json
mcp2k	18259	1	179054	27009	109.1	205.5	0.531	71.7	1	78.4	78.4	2	7.46	215.83	27.46	198.09	TRACK	work-mcp2k-d144fixprod/pr_evt179054/calib-pr-evt179054.json
mcp2k	18259	1	159569	12000	106.1	187.6	0.565	69.7	5	70.6	14.1	2	49.9	332.68	53.42	351.48	TRACK	work-mcp2k-d144fixprod/pr_evt159569/calib-pr-evt159569.json
mcp2k	18255	1	75554	41022	94.3	239.8	0.393	62.0	6	95.2	15.9	2	-38.69	46.32	56.26	45.4	TRACK	work-mcp2k-d144fixprod/pr_evt75554/calib-pr-evt75554.json
mcp2k	18255	1	396323	18013	93.9	122.1	0.769	61.7	4	40.1	10.0	4	27.38	499.56	2.52	488.81	TRACK	work-mcp2k-d144fixprod/pr_evt396323/calib-pr-evt396323.json
mcp1k	18259	1	166738	62032	92.8	65.7	1.411	61.0	7	40.2	5.7	2	59.6	214.34	65.32	179.7	EM	work-mcp1k-d144fixprod/pr_evt166738/calib-pr-evt166738.json
mcp1k	18255	1	283713	67051	91.7	74.3	1.234	60.2	10	32.8	3.3	2	40.74	196.39	42.81	247.35	EM	work-mcp1k-d144fixprod/pr_evt283713/calib-pr-evt283713.json
mcp1k	18255	1	395610	28002	89.3	164.8	0.542	58.6	2	59.5	29.7	4	181.91	274.95	154.64	275.31	TRACK	work-mcp1k-d144fixprod/pr_evt395610/calib-pr-evt395610.json
mcp2k	18259	1	52338	1002	82.5	123.4	0.669	54.2	1	40.7	40.7	1	-128.16	256.11	-120.68	219.82	TRACK	work-mcp2k-d144fixprod/pr_evt52338/calib-pr-evt52338.json
mcp2k	18259	1	237292	10001	81.6	133.9	0.609	53.6	4	45.3	11.3	3	-69.87	407.82	-83.42	406.44	TRACK	work-mcp2k-d144fixprod/pr_evt237292/calib-pr-evt237292.json
mcp1k	18255	1	348691	52074	79.8	103.1	0.774	52.5	2	31.8	15.9	2	-177.54	204.26	-195.38	227.47	TRACK	work-mcp1k-d144fixprod/pr_evt348691/calib-pr-evt348691.json
mcp1k	18255	1	352233	52012	76.6	118.6	0.646	50.3	1	38.6	38.6	2	102.69	443.38	106.99	455.37	TRACK	work-mcp1k-d144fixprod/pr_evt352233/calib-pr-evt352233.json
mcp1k	18255	1	399118	15009	74.6	30.8	2.42	49.0	11	41.0	3.7	2	101.75	278.67	172.47	268.43	EM	work-mcp1k-d144fixprod/pr_evt399118/calib-pr-evt399118.json
mcp1k	18255	1	391766	25013	73.7	103.6	0.711	48.4	1	32.0	32.0	4	-7.82	18.78	-2.23	1.88	TRACK	work-mcp1k-d144fixprod/pr_evt391766/calib-pr-evt391766.json
mcp2k	18255	1	75554	32011	72.9	232.9	0.313	47.9	1	91.3	91.3	2	110.11	45.34	175.15	44.62	TRACK	work-mcp2k-d144fixprod/pr_evt75554/calib-pr-evt75554.json
mcp2k	18259	1	174302	43003	72.7	109.7	0.663	47.7	1	34.6	34.6	3	31.54	190.06	44.23	205.97	TRACK	work-mcp2k-d144fixprod/pr_evt174302/calib-pr-evt174302.json
mcp1k	18255	1	349945	26019	69.6	129.0	0.54	45.7	1	43.2	43.2	4	-164.43	80.38	-198.53	73.59	TRACK	work-mcp1k-d144fixprod/pr_evt349945/calib-pr-evt349945.json
mcp2k	18259	1	101828	22010	66.3	165.2	0.401	43.6	1	59.6	59.6	2	104.54	407.82	102.37	418.58	TRACK	work-mcp2k-d144fixprod/pr_evt101828/calib-pr-evt101828.json
mcp1k	18255	1	408534	23011	61.9	98.6	0.627	40.6	1	29.8	29.8	2	92.45	249.14	108.56	251.42	TRACK	work-mcp1k-d144fixprod/pr_evt408534/calib-pr-evt408534.json
mcp2k	18255	1	294174	25036	59.8	205.1	0.291	39.3	1	78.2	78.2	3	-76.46	292.67	-16.15	293.15	TRACK	work-mcp2k-d144fixprod/pr_evt294174/calib-pr-evt294174.json
mcp2k	18255	1	75554	51036	55.0	101.6	0.541	36.1	9	40.5	4.5	2	-98.92	46.93	-40.42	46.34	TRACK	work-mcp2k-d144fixprod/pr_evt75554/calib-pr-evt75554.json
mcp2k	18255	1	71748	72018	53.5	86.5	0.619	35.2	1	24.7	24.7	2	-198.68	427.59	-194.32	450.46	TRACK	work-mcp2k-d144fixprod/pr_evt71748/calib-pr-evt71748.json
