sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp1k	18255	1	315871	0	11.055	6.382	13	1173804	0	nu-candidate	12	1	1	1	0	1.392	104.0	6	82.432045	-109.73703	440.26913	2.3828988	-15.0	1.0	1.0	0.7	0.0	415.10846	3.4443822	0.0	3.4443822	2	39.181835
mcp1k	18255	1	315959	0	5.950	0.894	7	347696	0	no-bundle	8	0	1	0	0																		
mcp1k	18255	1	316003	0	9.683	5.581	11	1182616	0	nu-candidate	14	1	1	1	0	1.008	32.9	7	150.42633	36.364445	388.27982	-2.970945	-15.0	1.0	0.0	0.7	0.0	237.1126	6.052934	0.0	6.052934	4	4.915364
mcp1k	18255	1	316025	0	11.162	7.216	13	1211216	0	nu-candidate	13	1	1	1	0	1.623	80.8	21	45.45468	40.32103	75.833015	2.349391	-15.0	1.0	0.0	0.7	0.0	833.5708	8.773029	0.0	8.773029	2	216.52924
mcp1k	18255	1	316311	0	9.723	5.839	11	1132852	0	nu-candidate	9	1	1	1	0	1.188	90.5	3	151.61546	188.37001	138.49255	4.270716	-15.0	1.0	0.0	0.7	0.0	489.80234	0.0	0.0	0.0	0	8.839138
mcp1k	18255	1	316487	0	4.761	0.638	6	310556	0	no-beam-flash	11	0	0	0	0																		
mcp1k	18255	1	316553	0	13.547	7.830	15	1235444	0	nu-candidate	12	1	1	1	0	1.668	255.2	4	178.39677	-89.50778	116.64699	4.2479877	-15.0	1.0	0.0	0.7	0.0	720.16547	2.7487636	0.0	2.7487636	2	0.0
mcp1k	18255	1	316729	0	10.937	6.964	13	1173084	0	nu-candidate	6	1	1	1	0	1.344	140.7	10	-68.69992	11.560528	192.25084	3.9173396	-15.0	1.0	0.0	0.7	0.0	660.15015	2.1108158	0.0	2.1108158	1	8.729576
mcp1k	18255	1	316971	0	7.223	1.034	9	380728	0	no-beam-flash	12	0	0	0	0																		
mcp1k	18255	1	317191	0	12.285	8.207	14	1210592	0	nu-candidate	16	1	1	1	0	0.576	129.6	12	-126.72888	-138.60605	289.03125	1.0949647	-15.0	1.0	0.0	0.7	0.0	1021.68884	18.390045	13.945687	4.4443583	3	25.12399
mcp1k	18255	1	317323	0	6.883	1.155	8	398004	0	nu-candidate	13	1	1	0	0																		
mcp1k	18255	1	317543	0	6.073	0.941	8	359036	0	cosmic-tagged	10	1	1	0	0																		
mcp1k	18255	1	317741	0	11.104	5.898	13	1242552	0	nu-candidate	11	1	1	1	0	1.001	9.8	19	35.35207	49.416744	17.040943	-1.3625042	-15.0	1.0	1.0	0.7	0.0	249.82109	3.8512006	0.0	3.8512006	1	67.98661
mcp1k	18255	1	317939	0	16.072	10.029	18	1299728	0	nu-candidate	17	1	1	1	0	1.214	16.8	0	-130.35548	83.78695	140.27422	3.409779	-15.0	1.0	0.0	0.7	0.0	1240.6003	3.215596	0.0	3.215596	1	18.54425
mcp1k	18255	1	318049	0	9.554	3.793	10	771852	0	cosmic-tagged	10	1	1	1	0	0.976	1.8	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	318335	0	7.210	1.079	9	391548	0	cosmic-tagged	9	1	1	0	0																		
mcp1k	18255	1	318379	0	5.802	0.741	7	326736	0	no-bundle	11	0	1	0	0																		
mcp1k	18255	1	318731	0	10.859	5.850	11	1200920	0	nu-candidate	11	1	1	1	0	0.598	86.0	8	-94.447334	-124.22643	482.3566	3.5118382	-15.0	1.0	0.0	0.7	0.0	475.76053	0.0	0.0	0.0	0	15.373
mcp1k	18255	1	319039	0	11.059	6.468	13	1286684	0	nu-candidate	16	1	1	1	0	2.028	85.7	9	60.633816	177.55917	220.97331	0.047061633	-15.0	1.0	0.0	0.7	0.0	611.8033	2.0863514	0.0	2.0863514	1	7.474267
mcp1k	18255	1	319611	0	12.458	6.687	14	1285176	0	nu-candidate	14	1	1	1	0	1.939	109.1	0	-197.15706	-151.32237	403.94867	2.5055737	-15.0	1.0	0.0	0.7	0.0	481.33417	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	319809	0	5.725	1.065	8	366108	0	cosmic-tagged	13	1	1	0	0																		
mcp1k	18255	1	320029	0	10.825	7.056	13	1225680	0	nu-candidate	16	1	1	1	0	1.095	219.5	4	72.52601	60.74874	15.678047	3.5660002	-15.0	1.0	0.0	0.7	0.0	660.62415	1.5083156	0.0	1.5083156	1	14.371983
mcp1k	18255	1	320095	0	5.933	0.621	7	310972	0	nu-candidate	7	1	1	0	0																		
mcp1k	18255	1	320491	0	7.500	1.570	9	453304	0	cosmic-tagged	16	1	1	0	0																		
mcp1k	18255	1	320623	0	6.001	0.742	7	333012	0	nu-candidate	12	1	1	0	0																		
mcp1k	18255	1	320667	0	15.540	9.241	17	1279104	0	nu-candidate	14	1	1	1	0	2.034	157.4	12	-116.91008	-7.7602625	419.63968	0.9660211	-15.0	1.0	0.0	0.7	0.0	652.0009	247.48239	150.74199	96.740395	9	1.5888183
mcp1k	18255	1	320865	0	12.987	6.554	15	1176616	0	nu-candidate	11	1	1	1	0	0.868	189.2	10	43.3065	18.162441	75.15617	3.9488764	-15.0	1.0	0.0	0.7	0.0	770.93945	1.6665046	0.0	1.6665046	1	7.993994
mcp1k	18255	1	321107	0	12.863	6.860	13	1211204	0	nu-candidate	9	1	1	1	0	0.755	225.5	5	-132.11403	155.49799	36.205357	2.2988296	-15.0	1.0	0.0	0.7	0.0	668.74194	7.6587067	0.0	7.6587067	5	0.0
mcp1k	18255	1	321173	0	12.622	5.774	13	1162880	0	nu-candidate	14	1	2	1	0	0.614	149.0	8	172.3758	95.28483	409.668	1.4218944	-15.0	1.0	0.0	0.7	0.0	622.24963	0.0	0.0	0.0	0	8.993675
mcp1k	18255	1	321371	0	15.887	10.689	18	1261088	0	nu-candidate	13	1	1	1	0	0.950	302.1	7	39.08425	-106.875435	143.70865	1.0384791	-15.0	1.0	0.0	0.7	0.0	757.0454	803.5282	0.0	803.5282	8	3.4680943
mcp1k	18255	1	321525	0	6.021	1.326	8	424028	0	cosmic-tagged	14	1	1	0	0																		
mcp1k	18255	1	321767	0	14.533	9.653	16	1228476	0	nu-candidate	11	1	1	1	0	1.995	233.8	19	4.9989233	104.74144	224.54985	3.8110924	-15.0	1.0	0.0	0.7	0.0	1003.3127	365.98267	0.0	365.98267	3	256.20007
mcp1k	18255	1	321789	0	9.299	5.610	11	1243500	0	nu-candidate	12	1	1	1	0	1.791	31.5	2	98.03993	-151.51274	486.52026	-0.027171759	-15.0	1.0	1.0	0.7	0.0	210.41058	0.0	0.0	0.0	0	3.1173878
mcp1k	18255	1	345523	0	8.003	1.497	9	459764	0	no-bundle	13	0	1	0	0																		
mcp1k	18255	1	345633	0	16.068	13.346	17	1230224	0	nu-candidate	10	1	1	1	0	1.403	225.5	6	81.071434	-115.79904	187.57657	3.2233264	-15.0	1.0	0.0	0.7	0.0	1047.8168	1.570077	0.0	1.570077	1	9.114008
mcp1k	18255	1	345655	0	6.528	1.031	8	366444	0	nu-candidate	11	1	1	0	0																		
mcp1k	18255	1	346293	0	4.604	0.913	5	309936	0	cosmic-tagged	5	1	1	0	0																		
mcp1k	18255	1	346315	0	6.315	1.109	7	394700	0	cosmic-tagged	16	2	2	0	0																		
mcp1k	18255	1	346491	0	5.634	0.761	7	323352	0	no-beam-flash	6	0	0	0	0																		
mcp1k	18255	1	346623	0	10.807	5.187	12	1156540	0	nu-candidate	12	1	1	1	0	1.672	16.9	10	-182.4617	156.13333	346.86996	-2.0603058	-15.0	1.0	0.0	0.7	0.0	246.66675	2.4581652	0.0	2.4581652	4	10.720405
mcp1k	18255	1	347085	0	11.098	7.388	13	1225944	0	nu-candidate	14	1	1	1	0	0.912	59.6	27	-73.50432	173.42897	286.35684	1.7786535	-15.0	1.0	0.0	0.7	0.0	840.30774	1.677527	0.0	1.677527	1	23.608894
mcp1k	18255	1	347129	0	8.274	5.701	10	1155088	0	nu-candidate	9	1	1	1	0	1.766	13.3	14	-192.71193	-41.81087	187.48843	-1.8244827	-8.525083	1.0	0.0	0.7	0.0	516.6399	1.808616	0.0	1.808616	1	78.460594
mcp1k	18255	1	347371	0	5.151	1.470	7	382924	0	cosmic-tagged	12	1	1	0	0																		
mcp1k	18255	1	347833	0	5.209	1.096	6	392072	0	no-beam-flash	15	0	0	0	0																		
mcp1k	18255	1	348075	0	6.262	1.258	7	411604	0	cosmic-tagged	12	1	1	0	0																		
mcp1k	18255	1	348471	0	13.445	8.411	14	1224296	0	nu-candidate	11	1	1	1	0	0.833	100.9	18	-159.80315	40.38021	157.10634	3.3013194	-15.0	1.0	1.0	0.7	0.0	1044.9331	10.986466	0.0	10.986466	2	12.55096
mcp1k	18255	1	348515	0	11.681	5.839	12	1156584	0	nu-candidate	11	1	1	1	0	1.443	39.9	8	-57.133846	-84.43976	252.37265	-0.51192755	-15.0	1.0	0.0	0.7	0.0	415.0047	2.9360409	0.0	2.9360409	2	162.06403
mcp1k	18255	1	348691	0	24.879	19.728	26	1215132	0	nu-candidate	9	1	1	1	0	1.631	357.5	32	60.75951	-147.93254	176.90819	3.6986012	-15.0	1.0	0.0	0.7	0.0	1890.8057	263.5995	256.41946	7.180041	6	28.081854
mcp1k	18255	1	348713	0	11.727	6.310	12	1186964	0	nu-candidate	10	1	1	1	0	1.230	116.6	8	201.15747	88.20077	65.99598	-1.7969842	-15.0	1.0	1.0	0.7	0.0	396.47693	320.11285	320.11285	0.0	2	14.255607
mcp1k	18255	1	348845	0	10.481	6.300	11	1148288	0	nu-candidate	10	1	1	1	0	0.692	73.8	1	165.31601	70.51816	436.5195	2.2630804	-15.0	1.0	0.0	0.7	0.0	554.62964	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	348889	0	6.412	1.641	7	477444	0	no-bundle	14	0	1	0	0																		
mcp1k	18255	1	349087	0	9.195	5.439	11	1191652	0	nu-candidate	17	1	1	1	0	0.854	34.8	2	-68.07504	-35.20654	265.76117	-2.7701788	-15.0	1.0	0.0	0.7	0.0	253.48718	0.0	0.0	0.0	0	0.0
mcp1k	18255	1	349241	0	7.838	6.057	10	1198528	0	nu-candidate	11	1	1	1	0	2.003	51.4	19	-118.505005	-146.51393	4.224628	2.40219	-15.0	1.0	0.0	0.7	0.0	475.54254	4.1864057	0.0	4.1864057	2	23.104458
mcp1k	18255	1	349373	0	5.187	0.881	7	349712	0	nu-candidate	12	1	1	0	0																		
mcp1k	18255	1	349461	0	8.503	7.026	9	1203320	0	nu-candidate	13	1	1	1	0	0.762	182.9	10	-141.36845	17.572174	207.56425	2.8812194	-15.0	1.0	0.0	0.7	0.0	840.3191	126.90366	0.0	126.90366	4	4.292921
mcp1k	18255	1	349527	0	6.876	1.291	7	442680	0	no-beam-flash	13	0	0	0	0																		
